Line,EX_lac__L_e,EX_glc__D_e_r,EX_gluIN__L_e,EX_gluOUT__L_e,EX_gln__L_e_r,EX_asp__L_e,DM_asp__L_e,EX_co2_e,EX_h_e_f,EX_h2o_e_f,EX_ump_e_r,EX_pi_e_r,EX_nh4_e,EX_o2_e_r,EX_arg__L_e_r,EX_pro__L_e,EX_leu__L_e_r,EX_ile__L_e_r,EX_met__L_e_r,EX_gly_e_r,EX_phe__L_e_r,EX_ser__L_e_r,EX_ala__L_e_f,EX_ribflv_e,EX_asn__L_e,EX_fol_e_r,EX_urea_e,EX_pyr_e,PYRt2,EX_gudac_e,EX_hdca_e_f,EX_ptrcIN_e,EX_ptrcOUT_e,EX_biomassx,EX_gthox_e,EX_2obut_e,EX_crn_e,EX_val__L_e_r,EX_spmd_e,EX_sprm_e,EX_5mthf_e,EX_tmlys_e_r,EX_thbpt_e_r,EX_CE2705_e,EX_crtn_e,EX_his__L_e_r,EX_lys__L_e_r,EX_carn_e_r,EX_csn_e_r,EX_cys__L_e,EX_cyan_e_r,EX_tcyntc,EX_tcynt_e,EX_so3_e,EX_thr__L_e_r,EX_trp__L_e_r,EX_anth_e,EX_tyr__L_e_r,EX_cystinex_r,EX_3hydroxybutanoatex_r,EX_gthrd_e_r,EX_cmp_e_r,HEX1,G6PP,PGI,PFK,FBP,FBA,TPI,GAPD,PGK,DPGM,DPGase,PGM_f,ENO_f,PYK,LDH_L,r0407,PRPPS,G6PDH2r,PGL,GND,RPI,TKT2_f,RPE_f,TKT1_f,TALA_f,r0408,PDHm,PCm,PEPCK_re,CSm,ACONTm_f,ICDHxm,ICDHym_f,AKGDm,SUCOAS1m_f,SUCD1m,FUMm_f,MDHm_f,ME1m,ME2m,ME2,ACITL,FUM_f,MDH_f,AKGMALtm_f,ACONT,ICDHyr,PPA,Complex1ROS,FADH2ETC,CYOR_u10mi,CYOOm2i,ATPS4mi,GLUCYS,GTHS,SPODMm,GTHPi,GTHPm,GDR,GTHOr,GDRm,GTHOm,r0885,PYRt2m_f,HMR_4964,r2420,ATPtm,FUMtm_f,CO2tm_f,O2tm,r0801_f,THD1m,H2Otm_f,NH4tm_f,HCO3E,HCO3Em,GLUN,GLNS,GLUt2m,GLNtm_1,GLUNm,GLUPRT,PRAGSr,GARFT,PRFGS,PRAIS,AIRCr,PRASCSi,ADSL2r,AICART,IMPC,ADSS,ADSL1r,IMPDH2,GMPS,GMPS2,GK1,RNDR2,ADK1,RNDR1,CBPS,ASPCT,DHORTS,DHORD9,ORPT,OMPDC,UMPK,RNDR4,TMDS,URIDK2r,NDPK2,NDPK3_f,CYTK1_r,CTPS1,RNDR3,GDHm,GLUDym_f,ASPTA_f,ASPTAm,ASPGLUm,ASPT,CBPSam,OCBTm,ORNt4m,ARGSS,ARGSL,ARGN,ORNDC,SPMS,SPRMS,ADMDC,MTAP,ADPT,MTRI,MDRPD,DKMPPD,SPMDtex2,SPRMti,GLYAMDTRc,ARGDr,r0074_f,GLU5SAtmc_f,G5SADs_f,PRO1x,P5CR,PROD2,EXRiboflavin,RBFK,FMNAT,TransportFAD,ASNS1,ASNN,METS,METAT,HMR_3915,AHCi,ADNK1,CYSTS,CYSTGL,MTHFR3,MetSynthesis,UNK3,5MTHFt,ILETA,3MOPt2im,ILETAm,LEUTA,4MOPt2im,LEUTAm,OIVD1m,ACOAD8m,MCCCrm,MGCHrm,HMGCOAtm,VALTA,3MOBt2im,VALTAim,OIVD2m,ACOAD9m,ECOAH12m,3HBCOAHLm,HIBDm,r0643,MMSAD1m,MMTSADm,PCC,MMALH,MMEm,MMMm,ILEtmi,LEUt5m,VALt5m,PGCD,PSERT,PSP_L,GHMT2r_f,SERD_L,ALATA_L_f,r1435,GLYtm_r,GHMT2rm,MLTHFtm_r,r0962,FORtm_r,r0514,DHFRim,FTHFLmi,MTHFCm,MTHFDm,FOLR2,DHFR,FTHFLi,FTHFDH,MTHFC_f,MTHFD,MTHFD2i_f,ACACT1r,HMGCOAS,HMGCOAR,MEVK1,PMEVK,IPDDI,DPMVD,DMATT,GRTT,HMR_1465,HMR_1467,SMO,LNSTLS,HMR_1477,HMR_1478,HMR_1479,C14STR,HMR_1490,HMR_1493,HMR_1494,C3STDH1,HMR_1495,HMR_1500,HMR_1502,HMR_1503,HMR_1504,HMR_1505,HMR_1509,CHLSTI_1,HMR_1516,RE2410C,DSMSTOLR,ACCOAC,FASN,MCAT,AcetoacetylACPsynthesis,r0691,r0681,r0682,r0760,r0761,r0762,r0763,r0764,r0694,r0695,r0765,r0766,r0692,r0693,r0767,r0768,r0769,r0770,r0712,r0713,r0701,r0702,r0771,r0772,r0696,r0697,r0773,FA160ACPH,TMLYStd_r,TMLYSOX,GHMT3,TMABADH,BBHOX,SUCFUMtm_r,palmitateActivation,carnitineAcylTransferaseI,CARN160t_m,carnitineAcylTransferaseII,betaOxidation,Biomass,GLCt1_r,O2t_r,GLNt_r,r0963_r,THBPTt_r,ARGt5r_r,PHEtec_r,ILEtec_r,LEUtec_r,VALtec_r,METtec_r,r2526_r,GLYt4_r,r2532_r,PROPAT4te_r,HDCAt,CRNt,GTHRDt2_r,DmLact,UREAt,DmBiomass,NH4t,PTRCtex2_f,GUDACtr2,CE2705t,Dm2oxobutyrate,H2Ot_f,PHLACHt_f,CO2t,DmGSSG,GLUt4,ALAPAT4te,DmAla,ASPte_r,DmAsp,DmPalm,ATPM,GACMTRc,CKc_cho,CRTNsyn_cho,CRTNtr,NDPK1,NDPK5,NDPK8,NDPK7,DTMPK,NDPK4,HIStiDF_r,PTRCOX1,ABUTD,r0465_1,ABUTH,GLUDC,HISDr,URCN,IZPN,GluForTx,FTCD,CARPEPT1tc_r,NBAHH_ir,r0283,ASP1DC,CSNt_r,bAlaSynthesis,LYSt5r_r,LYStm,SACCD3m,r0525,AASAD3m,r0450,2OXOADOXm,GLUTCOADHm,3HBCDm,HACD1m,HMGCOASm,CYStec_r,CYSTA,CYANt_r,MCPST,TCYNTt,CYSO,3SALATAi,3SALAASPm,3SALATAim,3SPYRSP,3SPYRSPm,HMR_3951,ExSulfitem,PHETHPTOX2,TYRt_r,TYRTA,34HPPOR,HGNTOR,MACACI,FUMAC,AACOAT,r2534_r,THRD_L,OBDHc,PPCOAtm,r1616_r,TRPO2,FKYNH,KYN,ANTHte,KYN3OX,HKYNH,3HAO,PCLAD,AM6SAD,AMCOXO,2OXOADPTm,ExCystineGlu,ExCystineSer,CystinePyruvate,CystineReductaseNADPH,CystineReductaseNADH,CystineGSH,Ex3HB,Transport3HB_forward,bBDH,OCOAT1m,ACACT1m,G3PD1ir,GLYC3Ptm,G3PDm,DHAPtm,CMPuptake_r,UMPuptake_r,Transport_ala_B_c_e,EX_ala_B,Transport_octanoyl_ACP_c_e,EX_octanoyl_ACP,TMDK1,THYMDt1_r,EX_thymd,Transport_HC00576_c_e,EX_HC00576,Transport_4abut_c_e,EX_4abut,EX_h_e_b,EX_h2o_e_b,EX_ala__L_e_b,EX_hdca_e_b,PGM_b,ENO_b,TKT2_b,RPE_b,TKT1_b,TALA_b,ACONTm_b,ICDHym_b,SUCOAS1m_b,FUMm_b,MDHm_b,FUM_b,MDH_b,AKGMALtm_b,PYRt2m_b,FUMtm_b,CO2tm_b,r0801_b,H2Otm_b,NH4tm_b,NDPK3_b,GLUDym_b,ASPTA_b,r0074_b,GLU5SAtmc_b,G5SADs_b,GHMT2r_b,ALATA_L_b,MTHFC_b,MTHFD2i_b,PTRCtex2_b,H2Ot_b,PHLACHt_b
102A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33616.5,38701.944444444445,38701.944444444445,38701.944444444445,37130.833333333336,37130.833333333336,0.0,95261373.44444446,127866277.55555554,1660.7222222222224,0.0,1142.8333333333333,0.0,2198611.6666666665,19132834.0,0.0,0.0,38902342.666666664,0.0,1459513.9444444447,3931.1111111111113,1915944.4444444443,3931.1111111111113,3931.1111111111113,17650553.777777776,3621.777777777778,0.0,142759.61111111112,1394.388888888889,216.66666666666666,91272.5,19181.777777777777,1050.111111111111,0.0,82419.5,13194.166666666666,23449.333333333332,2405851600.4444447,2405851600.4444447,179567759.72222224,179567759.72222224,0.0,23449.333333333332,2405851600.4444447,11523913420.611109,91272.5,1050.111111111111,42802.555555555555,98.0,0.0,0.0,0.0,80335.55555555556,1415.9444444444443,2376759.4444444445,0.0,3883767750802.722,3883767750802.722,20655950.0,23232938.38888889,20655950.0,23232938.38888889,1963699.722222222,142759.61111111112,11574031717.222221,0.0,80335.55555555556,23449.333333333332,0.0,0.0,611067.2777777779,75166.0,0.0,0.0,0.0,0.0,304417.27777777775,0.0,0.0,304417.27777777775,304417.27777777775,304417.27777777775,7294.555555555556,839.7777777777778,304417.27777777775,0.0,0.0,199598.72222222225,0.0,2348137.5,0.0,60896113373.666664,59.77777777777778,3974520.5555555555,0.0,304417.27777777775,45006.38888888888,455.0555555555556,76076.5,80335.55555555556,304417.27777777775,199598.72222222225,0.0,0.0,0.0,0.0,0.0,0.0,980.7777777777778,80335.55555555556,0.0,80335.55555555556,0.0,407.27777777777777,0.0,19181.777777777777,3746501.0555555555,18542308549.0,0.0,199598.72222222225,199598.72222222225,0.0,503.0,32728.0,17285714.333333332,234.5,2542.722222222222,503.0,0.0,0.0,8.666666666666666,4582.833333333333,1449.888888888889,0.0,0.0,0.0,0.0,0.0,18691999.333333332,2542.722222222222,98.0,4947.777777777777,4947.777777777777,81046.0,0.0,0.0,0.0,1260.7777777777776,0.0,0.0,62164774569.333336,2678.055555555556,0.0,32568.22222222222,8.666666666666666,6555.444444444444,6000.055555555556,7212344.0,0.0,0.0,304417.27777777775,0.0,0.0,90945.27777777777,0.0,90945.27777777777,11965420527.611109,0.0,11965420527.611109,0.0,0.0,0.0,0.0,0.0,622894496.0555555,0.0,622894496.0555555,0.0,0.0,0.0,0.0,19181.777777777777,19181.777777777777,0.0,0.0,81.33333333333333,0.0,158.33333333333334,158.33333333333334,0.0,128849.38888888889,7061.666666666667,22365431.444444444,0.0,94.33333333333333,6974.666666666667,6974.666666666667,142759.61111111112,6974.666666666667,7294.555555555556,6974.666666666667,980.7777777777778,3306.0,0.0,206447.33333333334,74.83333333333333,0.0,839.7777777777778,74.83333333333333,206447.33333333334,74.83333333333333,0.0,1085930.6666666667,839.7777777777778,74.83333333333333,98.0,96369.11111111111,216.66666666666666,33792.61111111111,1253.6666666666667,1021.1666666666666,0.0,4844.277777777777,0.0,0.0,10565894.611111112,74.83333333333333,74.83333333333333,0.0,74.83333333333333,74.83333333333333,74.83333333333333,74.83333333333333,74.83333333333333,74.83333333333333,74.83333333333333,19181.777777777777,1050.111111111111,1050.111111111111,74.83333333333333,74.83333333333333,74.83333333333333,1050.111111111111,74.83333333333333,0.0,74.83333333333333,74.83333333333333,74.83333333333333,216.66666666666666,216.66666666666666,0.0,0.0,74.83333333333333,0.0,74.83333333333333,0.0,74.83333333333333,0.0,74.83333333333333,0.0,74.83333333333333,0.0,74.83333333333333,0.0,74.83333333333333,0.0,74.83333333333333,0.0,74.83333333333333,0.0,74.83333333333333,0.0,74.83333333333333,0.0,74.83333333333333,0.0,74.83333333333333,0.0,74.83333333333333,0.0,0.0,90945.27777777777,0.0,19181.777777777777,90945.27777777777,308690761.0,0.0,0.0,0.0,0.0,0.0,2.781995794150116e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479860.94444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274947.55555555556,0.0,0.0,19550.944444444445,0.0,199598.72222222225,0.0,0.0,8.666666666666666,2217.5555555555557,0.0,0.0,455.0555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19181.777777777777,49762.61111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199598.72222222225,0.0,74.83333333333333,0.0,1090.0,6390159490.833333,4135314.1666666665,33797079.61111111,314801388.1111111,0.0,0.0,0.0,19181.777777777777,216.66666666666666,0.0,133778490.1111111,0.0,0.0,0.0,1415.9444444444443,39592144.44444445,84741707.6111111,39592144.44444445,0.0,0.0,0.0,0.0,53594.55555555556,0.0,3073347726.1666665,531.5555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.33333333333333,0.0,20890.44444444444,0.0,0.0,0.0,74.83333333333333,227.55555555555554,0.0,0.0,19181.777777777777,74.83333333333333,90945.27777777777,0.0,6974.666666666667,0.0,74.83333333333333,98.0,3883767750802.722,0.0,0.0,19181.777777777777,664141.3333333334,0.0,98.0,4299.777777777778,4299.777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49762.61111111112,0.0,0.0,0.0,0.0,0.0,0.0,152.55555555555554,179941423.38888893,3931.1111111111113,17650553.777777776,18464495.388888888,0.0,3746501.0555555555,0.0,142256.88888888888,98.0,142256.88888888888,98.0,11523913420.611109,142759.61111111112,23449.333333333332,0.0,611067.2777777779,0.0,0.0,0.0,1050.111111111111,0.0,98076877.38888888,4947.777777777777,706.1666666666666,7360567.555555556,1825676125.8888886,0.0,22659152.055555556,0.0,0.0,0.0
231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40992.444444444445,35851.88888888888,35851.88888888888,35851.88888888888,70326.88888888889,70326.88888888889,0.0,14987715.555555554,0.0,0.0,0.0,1055.0555555555557,0.0,0.0,56352382.94444445,0.0,0.0,29381876.055555552,0.0,1879362.111111111,2413.222222222222,146763.66666666666,2413.222222222222,2413.222222222222,9428921.444444444,6225.222222222223,0.0,134249.0,1298.1111111111113,188.94444444444446,20357.0,10289.111111111111,874.9444444444445,0.0,0.0,16674.666666666668,17368.777777777777,1411091715.4444444,1411091715.4444444,117408280.66666667,117408280.66666667,0.0,17368.777777777777,1411091715.4444444,2492261697.8333335,20357.0,874.9444444444445,17103.777777777777,371.0,0.0,0.0,0.0,23961.44444444445,2135.111111111111,0.0,0.0,3306062873398.222,3306062873398.222,100111053.94444446,71838315.83333333,100111053.94444446,71838315.83333333,1815918.0,134249.0,2498429007.2222223,0.0,23961.44444444445,17368.777777777777,0.0,0.0,562050.9444444445,300795.5,0.0,0.0,0.0,0.0,192438.88888888888,0.0,0.0,192438.88888888888,192438.88888888888,192438.88888888888,4641.722222222223,0.0,192438.88888888888,0.0,0.0,49036.11111111112,291.22222222222223,0.0,0.0,124786896943.0,0.0,29964936.5,0.0,192438.88888888888,20857.44444444444,472.1111111111111,77735.16666666667,23961.44444444445,192438.88888888888,49036.11111111112,0.0,0.0,0.0,0.0,0.0,0.0,46.333333333333336,23961.44444444445,0.0,23961.44444444445,0.0,323.9444444444444,0.0,10289.111111111111,5313212.055555556,1023434780.2777778,0.0,49036.11111111112,49036.11111111112,0.0,0.0,0.0,2358357.5,0.0,746.7777777777777,0.0,0.0,0.0,122.44444444444446,2158.611111111111,4437.277777777778,0.0,0.0,0.0,0.0,0.0,3472057.7222222225,746.7777777777777,371.0,6035.11111111111,6035.11111111111,0.0,0.0,0.0,0.0,273.72222222222223,0.0,0.0,9440465766.999998,979.2777777777778,0.0,29724.111111111113,122.44444444444446,3454.5,19735.666666666668,13356392.666666666,0.0,0.0,192438.88888888888,0.0,0.0,20313.888888888887,0.0,20313.888888888887,2428173600.5,0.0,2428173600.5,0.0,0.0,0.0,0.0,0.0,228087238.16666666,0.0,228087238.16666666,0.0,0.0,0.0,0.0,10289.111111111111,10289.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123483.88888888888,11663.0,9223603.722222222,0.0,48.0,8756.388888888889,8756.388888888889,134249.0,8756.388888888889,4641.722222222223,8756.388888888889,46.333333333333336,4011.1666666666665,0.0,1109737.8333333333,265.72222222222223,0.0,0.0,265.72222222222223,1109737.8333333333,265.72222222222223,0.0,0.0,0.0,265.72222222222223,371.0,110211.72222222223,188.94444444444446,147944.94444444444,647.6111111111112,0.0,0.0,0.0,0.0,0.0,1031374.5000000001,265.72222222222223,265.72222222222223,0.0,265.72222222222223,265.72222222222223,265.72222222222223,265.72222222222223,265.72222222222223,265.72222222222223,265.72222222222223,10289.111111111111,874.9444444444445,874.9444444444445,265.72222222222223,265.72222222222223,265.72222222222223,874.9444444444445,265.72222222222223,0.0,265.72222222222223,265.72222222222223,265.72222222222223,188.94444444444446,188.94444444444446,0.0,0.0,265.72222222222223,0.0,265.72222222222223,0.0,265.72222222222223,0.0,265.72222222222223,0.0,265.72222222222223,0.0,265.72222222222223,0.0,265.72222222222223,0.0,265.72222222222223,0.0,265.72222222222223,0.0,265.72222222222223,0.0,265.72222222222223,0.0,265.72222222222223,0.0,265.72222222222223,0.0,265.72222222222223,0.0,0.0,20313.888888888887,0.0,10289.111111111111,20313.888888888887,289673805.0,0.0,0.0,0.0,0.0,0.0,3.898354034494447e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190939.11111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277793.8333333333,0.0,0.0,3491.6111111111113,0.0,49036.11111111112,0.0,0.0,122.44444444444446,542.8333333333334,0.0,0.0,472.1111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10289.111111111111,44647.94444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49036.11111111112,0.0,265.72222222222223,0.0,1301.3333333333333,7735218909.111112,1534103.5,8074866.833333333,80245713.0,0.0,0.0,214.33333333333334,10289.111111111111,188.94444444444446,0.0,42235130.61111111,0.0,0.0,0.0,2135.111111111111,22092868.5,50083053.22222222,22092868.5,0.0,0.0,0.0,0.0,32762.0,0.0,581851116.3333334,422.6111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13542.222222222224,0.0,0.0,0.0,265.72222222222223,0.0,282.27777777777777,0.0,10289.111111111111,265.72222222222223,20313.888888888887,0.0,8756.388888888889,0.0,265.72222222222223,371.0,3306062873398.222,0.0,0.0,10289.111111111111,0.0,0.0,371.0,2965.444444444445,2965.444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44647.94444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53490429.166666664,2413.222222222222,9428921.444444444,2763732.1666666665,0.0,5313212.055555556,0.0,133997.0,371.0,133997.0,371.0,2492261697.8333335,134249.0,17368.777777777777,0.0,562050.9444444445,0.0,0.0,0.0,874.9444444444445,0.0,61777637.44444445,6035.11111111111,0.0,219897.5,65955605.27777777,0.0,447835.3333333333,0.0,0.0,0.0
361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82129.72222222223,57120.8888888889,57120.8888888889,57120.8888888889,62111.833333333336,62111.833333333336,0.0,43385906.38888889,472305221.22222227,3050.5,0.0,1193.0555555555554,0.0,0.0,4724287.777777778,0.0,0.0,105957912.33333333,147.5,1985621.5555555553,1931.6666666666667,439462.66666666657,1931.6666666666667,1931.6666666666667,11153464.611111112,4628.666666666667,0.0,195988.0555555556,2488.277777777778,283.6666666666667,109325.94444444444,23480.44444444444,1849.5,0.0,908242.1111111111,23489.88888888889,27368.722222222223,4570057533.999999,4570057533.999999,343265811.22222227,343265811.22222227,0.0,27368.722222222223,4570057533.999999,17463908139.666668,109325.94444444444,1849.5,47017.333333333336,113.22222222222223,33.88888888888889,0.0,0.0,154086.16666666666,1737.722222222222,3726862.8333333335,0.0,6380843833225.167,6380843833225.167,53923718.11111111,7970599.777777777,53923718.11111111,7970599.777777777,2517518.0555555555,195988.0555555556,17499419946.444447,0.0,154086.16666666666,27368.722222222223,0.0,0.0,2502556.2222222225,316789.5,0.0,0.0,0.0,0.0,321642.6666666667,0.0,0.0,321642.6666666667,321642.6666666667,321642.6666666667,6465.111111111112,670.1111111111112,321642.6666666667,0.0,0.0,176830.6111111111,0.0,1152871.0,0.0,487383645115.77783,0.0,24918344.222222224,0.0,321642.6666666667,44812.11111111112,996.8333333333334,52662.555555555555,154086.16666666666,321642.6666666667,176830.6111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154086.16666666666,0.0,154086.16666666666,0.0,85.8888888888889,0.0,23480.44444444444,2526309.5555555555,19799356791.166668,0.0,176830.6111111111,176830.6111111111,0.0,939.0,710108.5,137830907.77777776,0.0,2657.0,939.0,0.0,0.0,0.0,3556.3333333333335,1025.5,0.0,0.0,0.0,0.0,0.0,17194560.611111112,2657.0,113.22222222222223,5670.777777777778,5670.777777777778,46712.88888888888,0.0,0.0,0.0,779.2222222222223,0.0,33.88888888888889,57466176061.27777,4578.555555555556,0.0,55386.44444444444,0.0,4992.38888888889,5729.055555555555,54052647.0,0.0,0.0,321642.6666666667,0.0,0.0,109026.33333333333,0.0,109026.33333333333,24331356542.5,0.0,24331356542.5,0.0,0.0,0.0,0.0,0.0,1640783110.6666667,0.0,1640783110.6666667,0.0,0.0,0.0,0.0,23480.44444444444,23480.44444444444,0.0,0.0,95.3888888888889,0.0,931.8333333333334,931.8333333333334,0.0,217937.8888888889,15298.944444444443,25382359.222222224,0.0,170.33333333333334,13705.222222222224,13705.222222222224,195988.0555555556,13705.222222222224,6465.111111111112,13705.222222222224,0.0,5285.0,0.0,126520.88888888889,30.88888888888889,0.0,670.1111111111112,30.88888888888889,126520.88888888889,30.88888888888889,0.0,1252460.1666666667,670.1111111111112,30.88888888888889,113.22222222222223,182035.0,283.6666666666667,17174.222222222223,1155.0555555555557,0.0,0.0,9090.333333333334,0.0,0.0,12453402.444444446,30.88888888888889,30.88888888888889,0.0,30.88888888888889,30.88888888888889,30.88888888888889,30.88888888888889,30.88888888888889,30.88888888888889,30.88888888888889,23480.44444444444,1849.5,1849.5,30.88888888888889,30.88888888888889,30.88888888888889,1849.5,30.88888888888889,0.0,30.88888888888889,30.88888888888889,30.88888888888889,283.6666666666667,283.6666666666667,0.0,0.0,30.88888888888889,0.0,30.88888888888889,0.0,30.88888888888889,0.0,30.88888888888889,0.0,30.88888888888889,0.0,30.88888888888889,0.0,30.88888888888889,0.0,30.88888888888889,0.0,30.88888888888889,0.0,30.88888888888889,0.0,30.88888888888889,0.0,30.88888888888889,0.0,30.88888888888889,0.0,30.88888888888889,0.0,0.0,109026.33333333333,0.0,23480.44444444444,109026.33333333333,631269010.1111112,0.0,0.0,0.0,0.0,0.0,1.3987168106830137e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656364.1111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368207.55555555556,0.0,0.0,20501.777777777777,0.0,176830.6111111111,0.0,0.0,0.0,4202.555555555556,0.0,0.0,996.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23480.44444444444,69759.94444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176830.6111111111,0.0,30.88888888888889,0.0,1983.1111111111113,4428620650.888888,16604822.055555554,24037917.666666668,834094519.4444443,0.0,221.33333333333334,0.0,23480.44444444444,283.6666666666667,0.0,172836169.55555555,0.0,0.0,0.0,1737.722222222222,129378569.5,207666847.94444442,129378569.5,169.5,169.5,0.0,0.0,77093.88888888889,0.0,6820482727.5,661.3888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.3888888888889,0.0,29327.27777777778,0.0,0.0,0.0,30.88888888888889,0.0,0.0,0.0,23480.44444444444,30.88888888888889,109026.33333333333,0.0,13705.222222222224,0.0,30.88888888888889,113.22222222222223,6380843833225.167,0.0,0.0,23480.44444444444,5545968.944444444,0.0,113.22222222222223,5190.11111111111,5190.11111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69759.94444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135502431.33333334,1931.6666666666667,11153464.611111112,13233452.61111111,0.0,2526309.5555555555,0.0,179943.38888888888,113.22222222222223,179943.38888888888,113.22222222222223,17463908139.666668,195988.0555555556,27368.722222222223,0.0,2502556.2222222225,0.0,0.0,0.0,1849.5,0.0,132076621.8888889,5670.777777777778,69.66666666666667,0.0,2309800221.777777,0.0,0.0,0.0,0.0,0.0
