sample;(4S)-4-Hydroxy-2-oxoglutarate;(S)-1-Pyrroline-5-carboxylate;10-Formyltetrahydrofolate;2-Keto-6-aminocaproate;3-Hydroxyanthranilic acid;3-oxo-5S-amino-hexanoic acid;3-Phosphoglyceric acid;3-Sulfinato-L-alaninate;3-Sulfinylpyruvic acid;4-amino-butanoic acid;4-Hydroxy-L-glutamic acid;4-Hydroxyphenylpyruvic acid;4-Hydroxyproline;5,10-Methylene-THF;5-Methyltetrahydrofolate;5'-Methylthioadenosine;5-oxo-pentanoic acid;6-Phosphogluconic acid;6-Phosphonoglucono-D-lactone;Acetic acid;Acetoacetic acid;Acetyl-CoA;Acetylphosphate;Adenine;Adenosine;AMP;Adenylsuccinic acid;ADP;AICAR;Allocystathionine;Allysine;Argininosuccinic acid;Beta-D-Glucose 6-phosphate;beta-nicotinamide D-ribonucleotide;Butyric acid;Butyryl-CoA;cis-Aconitic acid;Citric acid;Citrulline;Coenzyme A;Creatine;Crotonoyl-CoA;Cyclic AMP;Cys-Gly;D-2-Hydroxyglutaric acid;D-4-Hydroxy-2-oxoglutarate;D-Erythrose 4-phosphate;D-Glucose;D-Glyceraldehyde 3-phosphate;Dimethylglycine;D-Ribose;D-Ribulose 5-phosphate;FADH;Farnesyl diphosphate;Folate;Fructose 1,6-bisphosphate;Fructose 6-phosphate;Fumaric acid;Gamma-Glutamylcysteine;GDP-glucose;Glucosamine 6-phosphate;Glutaric acid;Glutaryl-CoA;Glutathione;Glyceric acid 1,3-biphosphate;Glycerol 3-phosphate;Glycine;Glyoxylic acid;Guanine;Guanosine diphosphate;Guanosine monophosphate;Guanosine triphosphate;Hydrogen sulfite;Hydroxykynurenine;Hypotaurine;Hypoxanthine;Inosinic acid;Isopentenyl pyrophosphate;L-1-Pyrroline-3-hydroxy-5-carboxylate;L-2-Aminoadipate;L-4-Hydroxyglutamate semialdehyde;L-Acetylcarnitine;L-Alanine;L-Arginine;L-Asparagine;L-Aspartic acid;L-Cysteine;L-Glutamate;L-Glutamic acid 5-phosphate;L-Glutamic gamma-semialdehyde;L-Glutamine;L-Homocysteine;L-Lactic acid;L-Leucine;L-Lysine;L-Malic acid;L-Methionine;L-Phenylalanine;L-Proline;L-Serine;L-Threonine;L-Tryptophan;L-Tyrosine;L-Valine;Mevalonate-P;Mevalonate-PP;Mevalonic acid;N6-Acetyl-L-lysine;N-Acetylglucosamine 6-phosphate;NAD;NADH;NADP;NADPH;nicotinate beta-D-ribonucleotide;Ornithine;Oxidized glutathione;Oxoglutaric acid;Phosphoenolpyruvic acid;Phosphoserine;Propionyl-CoA;Pyroglutamic acid;Pyrophosphate;Pyruvic acid;Quinolinic acid;Reduced riboflavin;Riboflavin;R-Methylmalonyl-CoA;Saccharopine;S-Adenosylhomocysteine;S-Adenosyl-L-methionine;SAICAR;Sedoheptulose 7-phosphate;S-Methylmalonyl-CoA;Succinic acid;Succinic acid semialdehyde;Succinyl-CoA;Sulfate;Taurine;UDP-glucose;Uric acid;Uridine diphosphate-N-acetylglucosamine;Uridine triphosphate;Xylulose 5-phosphate
231 1_2_2;0;0;0;1059;447;1059;707;905;0;62063;596;0;6976;411;0;2500;1409;3502;0;1866;4207;0;700;2795;12856;48510;0;27065;484;1193;1059;0;36687;1743;0;0;2827;31732;0;0;788;0;880;821;4330;0;357;29330;2688;62063;35135;1280;0;1007;3311;103367;36687;18491;0;6510;3101;801;0;1761674;0;3247;4218;621;989;895;4055;1301;3293;0;4585;13279;0;0;76280;4126;967996;3477;1028;519;1079;75323;943;967996;7673;6976;189622;1576;425635;119049;714;16972;26817;47283;4116;7517;60332;17532;23750;6842;0;0;781;480;6319;8995;325;1870;0;0;0;206742;31732;0;0;0;76280;13538;17150;0;405;0;0;348;4739;0;1574;7564;0;14605;4207;0;37664;235974;2883;12717;20132;341;1280
231 1_2_3;0;0;0;600;498;600;708;909;0;59872;570;0;7003;0;0;2481;1461;3254;0;1846;3836;0;708;2657;11673;6457;0;9322;2000;1323;600;0;40676;1713;0;0;3181;8423;0;0;729;0;535;824;4049;0;366;31268;1992;59872;40150;1277;0;1058;3092;113168;40676;17026;0;6424;3545;841;0;1781376;0;3133;4736;596;977;1017;9803;1366;3146;0;5219;35921;0;0;77380;4207;958407;3855;2528;604;1042;74671;829;0;7174;7003;187950;1584;23015;128385;768;18168;27144;45562;4207;7835;60608;17738;24333;7046;0;0;1221;481;56228;7713;351;350;0;0;0;205984;8445;0;0;0;77380;13741;18368;0;392;0;0;328;4649;0;1018;7582;0;14514;3836;0;39225;227980;1739;13165;6785;337;1277
231 2_1_1;0;0;0;599;0;599;1553;700;0;56951;517;712;6135;0;0;2342;4967;1419;0;1053;4645;381;450;3005;13703;21669;0;1790;2634;1190;599;0;17364;1604;0;0;2060;7132;0;0;376;407;1231;404;4792;0;0;39271;479;56951;21180;648;0;1206;5365;16756;17364;16812;0;2557;2738;1300;0;1816583;0;3192;5549;591;557;0;1662;1914;3529;0;7427;7529;0;0;65452;3226;10165;4855;5224;862;1019;49140;614;0;4470;6135;202010;1697;461809;140699;1648;163010;31467;28400;3226;9172;64551;16896;33961;10564;0;0;589;602;22953;10629;0;1191;0;0;0;320523;7115;0;0;0;65452;5646;163334;607;483;0;0;409;3735;0;0;3512;0;17938;4645;0;39488;261133;2911;20664;11180;386;648
231 2_1_2;0;0;0;607;0;607;2148;740;0;56709;488;720;5791;0;0;2246;4843;2049;0;1058;4452;652;0;3192;14152;21054;0;550;1582;1178;607;0;17364;1517;0;0;2139;7873;0;0;391;0;1165;599;4484;0;0;39713;588;56709;21155;1034;0;1228;5064;18159;17364;17154;0;2880;2848;1205;0;1854600;0;1229;5618;690;568;0;2030;1972;3595;0;7601;7375;0;0;65627;3154;10160;4637;5256;929;928;48110;599;0;5144;5791;205370;1767;450489;139634;1760;162079;30825;20228;3154;9353;64314;15708;32913;10538;0;0;601;669;22195;11318;0;603;0;0;0;350109;7873;0;0;0;65627;5428;162325;590;617;0;0;0;3806;385;0;3607;0;16917;4452;0;39664;264373;3599;21471;23136;558;1034
231 2_1_3;0;0;0;563;0;563;1759;710;0;55248;417;657;5367;0;0;2169;4736;1980;0;1083;4195;583;0;2736;11957;22824;0;905;3091;1178;563;0;16796;1401;0;0;2075;9609;0;0;727;0;1123;820;4382;0;0;37555;549;55248;20792;461;0;1305;5109;34841;16796;16842;0;3407;2646;459;0;1755686;0;2857;5159;631;726;0;2580;1841;3395;0;7280;22118;0;0;64150;2989;9274;4843;5022;1015;1179;47377;564;0;3971;5367;198219;1726;423722;130916;1705;156628;28579;22575;2976;8878;62675;15614;30688;9787;0;0;568;522;22533;7072;0;959;0;0;0;312783;9355;0;0;0;64150;5976;156843;453;581;0;0;0;3502;0;0;3373;0;16120;0;0;41145;253984;5504;20576;25975;603;461
231 2_2_1;667;0;0;765;381;765;541;1355;0;30632;376;599;6234;0;0;1933;5161;1508;0;4166;4846;665;541;6277;28329;117096;0;5929;3339;1080;765;0;33255;475;0;0;2905;15804;0;0;478;0;647;432;5123;667;0;49032;701;30632;27986;2270;0;803;4217;34806;33255;14128;0;4434;3762;2272;0;1805620;0;3207;4926;533;648;442;26650;1228;2476;0;9469;34915;0;0;40544;4254;9792;4118;937;860;1210;33684;4159;0;9129;6234;185597;1453;407742;129314;1563;167798;30857;38509;4254;9426;65126;11614;34484;14415;0;0;787;513;117771;8025;506;673;484;0;0;300563;15717;0;0;0;40544;19708;167994;0;376;0;0;0;2802;0;0;5515;0;18842;4846;0;21348;215326;1420;26252;2745;669;2270
231 2_2_2;870;0;0;772;447;772;443;1377;0;31629;418;550;6619;0;0;1743;4910;377;0;4177;5036;606;443;6590;29063;126344;0;6153;2689;1119;772;0;36756;1348;0;0;2779;18624;0;0;722;0;599;0;5294;870;0;49752;938;31629;27455;3387;0;843;4378;37832;36756;14544;0;4848;3717;2304;0;1862697;0;3155;4987;528;623;592;28583;1339;2416;0;9310;34012;0;0;42425;4692;538956;3816;882;906;1128;34769;4349;538956;9648;6619;189137;1559;37597;130722;1505;177394;32240;40148;4692;9500;66646;11789;35657;14824;0;0;878;533;127165;7437;460;536;418;0;0;313953;18523;0;394;0;42425;20564;177563;0;471;0;0;0;2926;0;0;5941;0;19474;5036;0;19904;212525;2096;26467;3504;616;3387
231 2_2_3;860;0;0;807;429;807;430;1283;0;29369;430;549;6210;0;0;1601;4672;1473;0;4449;5286;514;430;5879;25682;128314;0;7810;3250;1028;807;0;35834;1149;0;0;2753;17825;0;0;436;0;633;412;4740;860;0;50208;990;29369;25147;3641;0;796;4394;49299;35834;14951;0;4665;3617;2025;0;1835631;0;2931;423;492;1141;577;28392;1268;2399;0;8651;35434;0;0;39533;4418;494387;3412;2184;852;1209;33242;4208;494387;9101;6210;191822;1490;20516;127363;1460;174103;32516;40613;4418;8780;66170;10389;33359;14477;0;0;596;500;128979;6923;414;549;419;0;0;311674;17804;0;470;0;39533;21242;174145;0;600;0;0;0;2801;0;0;5933;0;18381;5286;0;35550;201837;541;25094;754;588;3641
231 3_1_1;0;0;0;536;449;536;2348;1074;0;18656;451;527;4707;0;0;1873;6486;513;0;4192;7568;0;401;5442;24858;78397;0;29153;3852;1192;536;0;20530;553;0;0;4655;18815;464;0;462;0;793;744;6731;0;0;57722;595;18656;71471;1021;0;442;4453;65834;20530;18772;0;7794;3417;409;0;1839121;0;3244;4362;592;1578;391;43548;1048;2052;0;7361;31779;0;0;96778;4477;9638;4394;3274;693;1170;29867;3937;312837;6692;4707;192943;1344;492877;133300;1440;197996;35180;8810;4477;8722;65767;9171;30287;18441;0;0;0;587;6587;5847;1011;949;555;0;0;246186;18938;0;0;0;96778;20140;198440;0;0;1008;0;0;2977;0;0;3208;0;20084;7568;0;38770;155602;1816;30016;715;509;1021
231 3_1_2;0;0;0;489;0;489;2145;1121;0;18011;435;557;4834;0;0;1883;6187;445;0;4157;7314;0;508;5611;24029;72235;0;32325;2824;1084;489;0;19909;620;0;0;4989;19404;544;0;0;515;817;730;6560;0;0;52525;826;18011;22435;1192;0;430;4417;62158;19909;18429;0;7702;3325;463;0;1803341;0;3129;4142;634;1266;489;45397;1086;2044;0;7417;31476;0;0;93844;4455;293014;4143;3181;680;0;28589;3743;293014;6314;4834;183070;1323;42703;131555;1492;192103;36444;7973;4455;8672;62163;9290;30258;18035;0;0;392;556;6184;6376;707;445;666;0;0;232219;19372;0;0;0;93844;19015;192508;0;0;1028;0;0;3098;0;0;3408;0;19625;7314;0;38177;153087;1951;29139;11895;461;1192
231 3_1_3;0;0;0;572;417;572;2562;1055;0;18011;509;450;5321;0;0;2013;6741;519;0;4182;7933;0;525;5135;22987;86018;0;37224;3466;1023;572;0;20358;593;0;0;4898;18464;459;0;490;514;861;838;6526;0;0;56855;1067;18011;22646;988;0;446;3988;67905;20358;20165;0;7681;3457;422;0;1895779;0;3128;4429;662;1600;417;42425;1151;2121;0;7463;32416;0;0;107332;4221;293325;3668;3087;697;1190;28409;3866;0;6871;5321;189118;1285;24249;126048;1484;200515;35550;10320;4221;8538;64932;9324;31034;19031;0;0;0;592;86660;3905;583;1027;786;0;0;271323;18464;0;0;0;107332;21507;200941;0;0;917;0;0;3165;0;0;3298;0;18961;7933;0;37767;155061;2831;30763;1514;396;988
231 3_2_1;997;0;0;993;512;993;578;1257;0;44588;524;399;6524;0;0;2037;3965;2807;0;5045;4852;0;644;5648;26284;111376;0;52472;1792;1089;993;0;39360;1513;0;0;3025;26026;0;0;509;524;746;749;5476;997;0;39620;1427;44588;30757;2620;0;954;3901;91379;39360;19404;0;8726;3273;1828;0;1961339;0;3138;4783;650;1573;886;28422;990;3036;0;7330;11391;0;0;55769;4180;9478;2971;4662;754;420;47965;2428;0;9647;6524;197010;1517;41659;119145;1352;197496;34186;36700;4180;8188;52006;12303;28878;12323;0;0;386;652;6021;7161;409;1690;441;0;0;255808;25870;0;0;0;55769;24545;197789;0;0;452;0;0;2890;533;0;6256;0;17210;4852;0;50795;222829;1921;23363;5130;0;2620
231 3_2_2;933;0;0;959;463;959;601;1283;0;42815;439;396;6456;0;0;2192;4086;424;0;5003;4846;0;601;5268;23973;118061;0;50797;1646;1112;959;0;39301;1434;0;0;2978;26107;0;0;646;507;669;695;5526;933;0;40229;1197;42815;29636;2702;0;862;3954;75155;39301;19499;0;8249;3083;408;0;1962554;0;2461;4784;603;1476;630;26578;1138;2955;0;7448;11727;0;0;53570;4227;9763;2924;4612;706;670;46913;2465;0;8914;6456;195826;1515;42394;115690;1346;195853;32844;38437;4227;8363;65847;11715;27883;11976;0;0;430;649;119434;7386;422;595;523;0;0;253754;26107;0;0;0;53570;25331;196091;0;416;512;0;0;2973;471;0;6312;0;16476;4846;0;52384;219479;3934;23972;2227;0;2702
231 3_2_3;426;0;0;806;531;806;631;1421;0;41175;499;417;6102;0;0;2091;4514;2923;0;5460;5133;0;631;6187;27196;86503;0;48438;1441;1055;806;0;39836;1554;0;0;3033;20042;0;0;545;0;655;901;5140;426;0;42800;1393;41175;31114;2483;0;893;3925;82954;39836;19122;0;8651;3319;453;0;1977986;0;2959;5109;641;1249;0;26418;1035;2936;0;8109;12109;0;0;51270;3856;653487;3089;4718;770;619;45360;2606;653487;12455;6102;202090;1518;40387;110125;1532;186415;32171;25302;3856;9037;67309;12010;29193;12306;0;0;533;620;89411;27488;397;1522;491;0;0;276411;20042;0;0;0;51270;27336;186822;0;483;677;0;0;3029;415;0;6576;0;15545;5133;0;53027;224601;2230;25198;9745;0;2483
361 1_1_1;1013;0;839;941;0;941;761;1455;0;77330;0;581;7034;0;0;4271;4230;1201;0;4644;5347;673;622;1026;7425;9283;0;104865;721;714;941;0;80134;1807;0;0;6224;149681;851;0;5128;0;14537;560;5603;1013;560;73507;3794;77330;29147;4189;0;3275;3647;118426;80134;27977;0;12382;9713;1281;0;2510150;3360;5953;8230;1149;748;0;38770;2515;3052;0;8895;15150;0;0;96817;7639;1300324;7920;23107;2044;3750;196744;918;1300324;16036;7034;297792;3151;27599;219310;1177;34802;49046;78013;7639;11079;100367;32960;55881;12686;0;11377;847;1042;9416;21843;0;1019;0;0;887;355556;148907;0;0;0;96817;37059;35311;5089;848;553;1581;761;6175;0;0;5846;1581;16109;5347;1581;66629;233735;5100;23067;5064;0;4189
361 1_1_2;911;0;1003;1011;0;1011;722;1324;0;78870;0;663;6474;0;0;4414;4340;1214;0;4649;5486;666;722;1031;7658;9686;0;117533;1077;798;1011;0;82955;1766;0;0;8858;168817;838;0;4121;0;15238;913;5570;911;0;74772;1000;78870;29572;4630;0;3442;3902;124975;82955;29361;0;12798;9841;648;0;2470919;3271;7892;8685;1068;612;652;40258;2309;3089;0;9013;15707;0;0;253020;7406;13985;8307;23244;2070;3790;193301;936;0;12527;6474;298903;3187;754135;219316;1362;39087;48535;77756;7406;11150;102126;33066;56524;12668;0;12216;1810;901;9743;15702;0;1022;0;0;901;340113;169017;0;741;0;253020;42645;39621;5103;550;0;1672;786;5489;0;0;5839;1672;15150;5486;1672;65535;238357;7731;5103;8970;0;4630
361 1_1_3;696;0;896;519;0;519;630;1398;0;81757;0;724;6228;0;0;4695;4493;1059;0;5258;5423;540;711;881;6226;10492;0;136352;669;690;519;0;82205;1747;0;0;9717;115517;906;0;4845;0;16010;971;5598;696;533;75418;690;81757;28957;4876;0;3357;4037;137484;82205;28307;0;14148;9655;1209;562;2522819;3361;6081;8818;1021;0;544;43694;2498;3138;0;9309;16075;674;0;96340;7642;1326639;8364;22675;2105;3791;197087;928;1326639;23120;6228;299356;3197;775246;224191;1251;308828;49632;82382;7642;11166;100695;34778;57688;12359;0;14291;644;944;10417;92734;0;916;0;0;829;389614;115017;0;594;0;96340;48137;309736;4881;577;0;1521;766;6289;0;0;6038;1521;15541;5423;1521;62389;238684;747;23769;12937;0;4876
361 1_2_1;882;0;591;519;0;519;817;890;0;40210;0;611;4649;0;0;1730;6289;617;0;7396;6907;0;840;545;9727;8833;0;163595;723;0;519;0;46400;933;0;0;10409;81344;0;0;5865;0;2832;658;4697;882;0;88444;533;40210;46269;772;0;2048;4096;37698;46400;20976;0;8726;10790;1951;0;2169911;2299;3533;6236;692;2101;655;57475;1690;2028;0;11696;34054;1998;0;226130;7595;667145;3625;11745;2152;4033;122371;3560;667145;21929;4649;272639;3387;21924;156348;1753;228911;47832;50681;7595;10649;86941;15881;51277;18332;0;4627;864;3038;8732;19791;0;1000;556;0;944;258041;81787;0;0;520;226130;63142;229414;5760;0;1347;0;580;3874;0;0;3633;0;33530;6907;0;52719;150419;814;33901;4646;905;772
361 1_2_2;761;0;516;520;0;520;881;878;0;42641;0;647;4011;0;0;1821;6162;0;0;7838;6561;0;886;717;8714;313994;0;156228;3757;0;520;0;41867;885;0;0;10200;85020;509;0;5896;0;2686;810;4645;761;0;83490;532;42641;16336;800;0;2015;4256;32935;41867;20928;0;8551;10582;545;0;2153115;2288;3293;6203;745;1443;526;56063;1775;2018;0;10651;36489;1902;0;227853;7738;714070;2985;13060;2163;3496;128819;3318;714070;19073;4011;269946;3253;21438;144220;1667;221791;45400;51428;7738;10888;84571;14767;49988;17193;0;4866;887;3134;314059;16486;0;980;0;0;780;240782;85020;0;0;566;227853;68637;222180;5976;567;1402;0;0;3730;0;0;3754;0;33770;6561;0;47297;155336;0;33046;14565;0;800
361 1_2_3;740;0;0;615;0;615;954;946;0;44145;0;624;1842;0;0;1834;6237;713;0;7274;6549;0;853;1948;8279;262798;0;157194;5285;0;615;0;49182;936;0;0;10754;66682;577;0;4216;0;2818;821;4532;740;0;82188;693;44145;17180;821;0;2275;4457;34381;49182;19883;0;8905;11754;1417;0;2066309;1822;3958;517;664;0;889;55092;1705;1983;0;11881;37761;1926;0;181334;7034;747528;3344;14866;2355;3370;123484;3256;747528;25677;1842;259908;3028;573285;153284;1822;203447;41583;52870;7034;11929;77880;16418;53706;15575;0;5615;876;2871;263792;44908;0;943;0;0;658;285193;66499;0;0;0;181334;63440;203981;6327;0;1599;0;517;3980;0;0;3355;0;32176;6549;0;49954;165859;7528;35421;1958;0;821
361 2_1_1;0;0;602;1005;0;1005;1672;1047;0;69883;0;594;4883;0;0;2536;5270;1116;588;5229;5034;0;1837;821;3523;82099;0;72902;1407;895;1005;0;35976;606;0;0;6861;88724;864;0;2858;0;5464;0;4570;0;0;80168;800;69883;17230;1288;0;3496;5085;10754;35976;23189;0;8208;6816;699;0;2379117;3000;4021;608;951;785;1466;14139;2422;2551;0;10954;25067;1920;0;91363;7238;1125985;4357;19331;2588;4894;180777;1192;0;11097;4883;312287;3636;615489;204121;2037;274665;51939;76888;3824;14262;98755;27918;61359;13998;0;6980;909;994;81998;8468;0;1047;0;0;890;292073;88724;0;0;0;91363;26438;274666;6948;945;634;605;771;3231;0;0;2977;605;23231;5034;605;67252;194616;642;30206;35433;641;1288
361 2_1_2;717;0;917;1118;0;1118;1639;1072;0;69770;0;0;5075;0;0;2528;5489;829;599;4981;4962;0;1632;1001;3655;76518;0;79691;1835;819;1118;0;37282;1361;0;0;6995;81744;722;0;2707;0;5755;0;4794;717;0;79847;693;69770;43804;1276;0;3680;5022;22217;37282;23048;0;9451;7377;1374;580;2418851;2895;3963;8339;918;976;1597;12489;2564;2582;0;11084;26130;2092;0;89671;7164;1117781;4606;20613;2711;4785;178052;1202;1117781;13302;5075;313358;3764;624720;212798;2219;269542;52379;75747;7164;14753;100777;27758;63202;14698;0;6893;1493;1027;76323;13814;0;1081;0;0;947;327913;80680;0;0;0;89671;25670;269801;7038;957;721;577;741;3326;0;0;3109;577;23058;4962;577;70632;197814;8152;7038;21983;0;1276
361 2_1_3;728;0;0;1112;0;1112;1769;1067;0;71147;0;597;5126;0;0;2721;5927;0;0;5198;4968;0;1769;809;3670;74336;0;83582;1667;991;1112;0;39381;598;0;0;6766;75036;770;0;2944;0;6184;0;5187;728;0;67813;740;71147;20185;646;0;3819;5324;22191;39381;24059;0;8891;7011;1684;627;2441609;2785;4288;8811;917;1237;717;13114;2660;2787;0;10919;27753;2122;0;91743;7135;1186432;4304;21413;2769;4834;180226;1269;1186432;14223;5126;317326;3871;633240;218266;2371;270682;53852;77242;7135;15151;100586;30023;64762;15448;0;6765;854;985;74203;13158;0;1079;0;0;945;339980;75428;0;0;0;91743;24503;270775;7389;929;691;575;766;3346;0;0;3224;575;23370;4968;575;68728;206872;7323;31810;16271;0;646
361 2_2_1;3327;622;1256;2128;0;2128;1800;1286;1016;81509;0;825;7222;0;0;5285;7148;1185;0;13985;6384;606;1967;1170;6957;11298;0;204947;1476;627;2128;0;61955;1689;0;0;6906;137232;781;0;4425;0;11770;932;6799;3327;590;86609;1087;81509;32612;722;0;4470;6629;49685;61955;32642;0;14433;9800;1824;0;2772675;3484;6596;9429;1273;836;960;54476;2963;2959;0;11678;50748;0;0;97437;8239;1291459;8488;24304;3085;4548;200113;1162;1291470;25852;7222;342974;4757;965596;269886;2029;41284;65394;82613;8239;14503;62328;36421;66914;15430;0;12729;1862;1353;11388;24418;668;6434;0;0;1233;489966;137224;0;642;0;97437;58405;41938;10113;882;790;1601;791;7242;0;0;5466;1601;22359;6384;1601;100908;227640;8509;31358;8822;0;722
361 2_2_2;3298;0;988;2071;0;2071;1925;1226;1002;78688;0;922;6828;0;0;5028;6993;1530;0;13108;6120;0;1925;1153;6721;11417;0;216814;3642;821;2071;0;58696;1712;0;0;6590;128735;950;0;5177;0;11925;1002;6473;3298;614;83027;932;78688;31768;1400;0;4467;6715;41663;58696;32138;0;14543;9585;722;0;2712314;3303;6462;652;1257;609;958;54523;2824;2916;0;11447;47257;636;0;93529;7979;1267510;8060;23395;3108;4849;192475;1110;1267510;26620;6828;323004;4630;933027;256570;1929;40459;63951;76766;7979;14324;106728;35593;65507;14685;0;12561;662;1175;11533;22878;697;999;0;0;1066;463789;127926;0;0;0;93529;56083;40968;9886;886;672;1591;796;7013;0;0;5153;1591;21935;6120;1591;69107;222158;7773;30783;4260;0;1400
361 2_2_3;3392;632;593;2068;0;2068;1863;1198;1033;80437;0;917;6941;0;0;5130;7033;1582;0;13571;6127;660;1859;1168;6757;11520;0;225618;572;874;2068;0;62281;1887;0;0;7130;129568;821;0;4570;0;11691;0;6345;3392;638;77116;907;80437;31823;1745;0;4449;6714;39633;62281;32238;0;15043;9931;1520;0;2713595;3186;6369;694;1201;877;922;55564;2811;2903;0;11456;48437;0;0;95022;8157;13847;8252;24305;2860;4528;197444;1095;0;26574;6941;334188;4656;938034;257838;1998;41523;64679;77123;8157;14642;61384;35830;67276;15555;0;12564;1543;1254;11577;23739;673;1052;0;0;971;475585;128315;0;0;0;95022;57515;42300;10096;790;857;1596;796;6887;0;0;5367;1596;22575;6127;1596;68567;225945;7849;31451;794;0;1745
361 3_1_1;994;0;1219;1431;0;1431;1110;1152;0;85411;0;749;6070;0;0;3789;6071;1115;733;4511;5008;643;1110;949;3256;11881;0;103285;2208;722;1431;0;60117;764;0;0;7858;115511;912;0;3392;0;7962;629;5206;994;0;71407;5285;85411;21536;830;610;4103;5089;37489;60117;27807;0;10249;8945;728;725;2694700;3315;4970;9925;1070;659;715;35294;3067;3118;0;11160;9061;1525;0;102217;7861;1397966;6362;24211;2948;5218;208916;1188;1397966;16218;6070;364813;4075;737944;240004;2136;27914;56703;89589;7861;16937;46789;35622;69527;14989;0;9083;1110;1154;11976;16225;0;1407;0;0;999;345141;115320;0;1089;0;102217;36716;307069;7943;1128;0;812;807;4288;0;0;4944;812;20001;5008;812;72627;251449;9794;7943;16495;0;830
361 3_1_2;962;0;762;1601;0;1601;867;1219;0;86653;0;759;5980;0;0;4043;5817;1152;0;4817;5290;702;859;965;3728;11940;0;102782;2064;911;1601;0;60957;1771;0;0;7919;125935;935;0;3386;0;8166;894;5701;962;610;87292;5541;86653;21571;929;0;3903;5020;37463;60957;28238;0;10983;9268;891;719;2635191;3490;4926;10184;989;849;692;36628;2681;3248;0;11225;11043;1466;0;98295;7702;1398764;6199;23710;2927;5781;198834;935;1398764;13968;5980;372434;3939;755838;235789;2146;30463;56210;94909;7702;17324;112338;34658;67573;14182;0;9024;818;850;12066;16951;0;1318;0;0;898;342023;125081;0;0;0;98295;39648;31173;7645;1085;0;769;851;4369;0;0;5341;769;21465;5290;769;72917;250244;8424;30402;1909;0;929
361 3_1_3;863;0;1274;1626;0;1626;928;1215;0;81878;0;660;5733;0;0;3812;5949;642;735;4547;4914;616;936;906;3324;11989;0;98166;1033;959;1626;0;62160;1535;0;0;7613;120969;937;0;3463;0;7858;735;5098;863;0;90162;5348;81878;20738;3907;0;4125;5228;28897;62160;26938;0;10806;9377;835;771;2730277;3347;4986;10428;1013;0;1321;36231;2980;3276;0;11800;29951;1225;0;104891;7696;1344787;6376;24515;3142;5484;209962;1150;1344787;12941;5733;369150;4090;761177;244276;2230;318955;59000;90438;7696;16620;52183;33967;70340;14954;0;9675;2597;1030;188299;11370;0;1209;0;0;970;328998;121073;0;0;0;104891;37971;319624;7718;1060;835;740;828;4196;0;0;5356;740;20982;4914;740;72599;248977;8199;30587;14625;0;3907
361 3_2_1;1187;0;606;735;0;735;782;1135;0;60902;0;636;5990;0;0;3323;7609;1345;0;6690;8103;0;788;1070;4306;9956;0;246001;3630;0;735;0;52588;1229;0;0;9202;101578;718;0;5285;0;9250;964;5897;1187;0;92347;2567;60902;22297;1414;0;2905;6274;116399;52588;31123;0;15639;9471;679;0;2635257;3150;5214;8562;1086;1165;2098;66562;2268;2952;0;12531;12845;1223;0;304204;7331;957325;6192;17149;2751;5143;156704;980;957325;19837;5990;344431;4296;876916;212046;2402;297578;62851;83678;7331;13377;107350;27787;64050;17136;0;7754;909;1086;245124;22538;0;5237;0;0;956;428286;101578;0;0;0;304204;51636;298264;10611;802;1224;979;777;5046;0;0;4422;979;24859;8103;979;92246;203118;738;37833;8064;0;1414
361 3_2_2;1107;0;0;845;0;845;1287;1136;0;60422;0;723;5594;0;0;3611;7598;1310;0;6961;6175;0;1216;1069;4589;9734;0;256726;1113;0;845;0;57110;1378;0;0;9247;105995;644;0;3558;0;9403;1023;6428;1107;0;90198;4727;60422;23559;1092;0;2944;6679;118638;57110;31606;0;16121;9989;759;0;2622668;3210;5365;670;1025;682;2301;67811;2542;2882;0;12293;13326;1378;0;307513;7460;939816;6345;18029;2952;4852;153684;3343;939816;18071;5594;337755;4393;883526;224153;2461;292281;62614;83973;7460;13583;76170;26984;66403;17090;0;8705;1059;858;283189;16460;0;1129;0;0;950;444032;105995;0;0;0;307513;56370;293409;10948;758;1384;1116;683;5588;0;0;4933;1116;25510;6175;1116;93687;204183;1850;37627;853;0;1092
361 3_2_3;1344;0;0;724;0;724;1068;1150;0;64026;0;673;6394;0;0;3443;7709;1061;0;6986;8532;0;1059;1230;4608;10152;0;247270;2067;0;724;0;56930;1582;0;0;9033;89779;773;0;3810;0;9372;1099;6432;1344;0;94530;4551;64026;52145;3433;0;3259;6956;107085;56930;32179;7151;15841;10223;1845;0;2665848;3343;5552;9381;1144;758;930;68435;2515;3150;0;13113;13414;1287;0;317501;7935;1002281;6145;19360;3096;5268;163958;3737;1002281;23038;6394;359304;4688;915420;230466;2706;296769;65356;85594;7935;14357;80368;27460;68521;18403;0;7901;1047;944;255660;21165;0;5419;0;0;1078;480651;88883;0;0;631;317501;52297;297555;11305;755;1317;1038;720;5794;0;0;4559;1038;27197;8532;1038;91039;217598;1933;40102;15667;0;3433
