sample;(4S)-4-Hydroxy-2-oxoglutarate;(S)-1-Pyrroline-5-carboxylate;10-Formyltetrahydrofolate;2-Keto-6-aminocaproate;3-Hydroxyanthranilic acid;3-oxo-5S-amino-hexanoic acid;3-Phosphoglyceric acid;3-Sulfinato-L-alaninate;3-Sulfinylpyruvic acid;4-amino-butanoic acid;4-Hydroxy-L-glutamic acid;4-Hydroxyphenylpyruvic acid;4-Hydroxyproline;5,10-Methylene-THF;5-Methyltetrahydrofolate;5'-Methylthioadenosine;5-oxo-pentanoic acid;6-Phosphogluconic acid;6-Phosphonoglucono-D-lactone;Acetic acid;Acetoacetic acid;Acetyl-CoA;Acetylphosphate;Adenine;Adenosine;AMP;Adenylsuccinic acid;ADP;AICAR;Allocystathionine;Allysine;Argininosuccinic acid;Beta-D-Glucose 6-phosphate;beta-nicotinamide D-ribonucleotide;Butyric acid;Butyryl-CoA;cis-Aconitic acid;Citric acid;Citrulline;Coenzyme A;Creatine;Crotonoyl-CoA;Cyclic AMP;Cys-Gly;D-2-Hydroxyglutaric acid;D-4-Hydroxy-2-oxoglutarate;D-Erythrose 4-phosphate;D-Glucose;D-Glyceraldehyde 3-phosphate;Dimethylglycine;D-Ribose;D-Ribulose 5-phosphate;FADH;Farnesyl diphosphate;Folate;Fructose 1,6-bisphosphate;Fructose 6-phosphate;Fumaric acid;Gamma-Glutamylcysteine;GDP-glucose;Glucosamine 6-phosphate;Glutaric acid;Glutaryl-CoA;Glutathione;Glyceric acid 1,3-biphosphate;Glycerol 3-phosphate;Glycine;Glyoxylic acid;Guanine;Guanosine diphosphate;Guanosine monophosphate;Guanosine triphosphate;Hydrogen sulfite;Hydroxykynurenine;Hypotaurine;Hypoxanthine;Inosinic acid;Isopentenyl pyrophosphate;L-1-Pyrroline-3-hydroxy-5-carboxylate;L-2-Aminoadipate;L-4-Hydroxyglutamate semialdehyde;L-Acetylcarnitine;L-Alanine;L-Arginine;L-Asparagine;L-Aspartic acid;L-Cysteine;L-Glutamate;L-Glutamic acid 5-phosphate;L-Glutamic gamma-semialdehyde;L-Glutamine;L-Homocysteine;L-Lactic acid;L-Leucine;L-Lysine;L-Malic acid;L-Methionine;L-Phenylalanine;L-Proline;L-Serine;L-Threonine;L-Tryptophan;L-Tyrosine;L-Valine;Mevalonate-P;Mevalonate-PP;Mevalonic acid;N6-Acetyl-L-lysine;N-Acetylglucosamine 6-phosphate;NAD;NADH;NADP;NADPH;nicotinate beta-D-ribonucleotide;Ornithine;Oxidized glutathione;Oxoglutaric acid;Phosphoenolpyruvic acid;Phosphoserine;Propionyl-CoA;Pyroglutamic acid;Pyrophosphate;Pyruvic acid;Quinolinic acid;Reduced riboflavin;Riboflavin;R-Methylmalonyl-CoA;Saccharopine;S-Adenosylhomocysteine;S-Adenosyl-L-methionine;SAICAR;Sedoheptulose 7-phosphate;S-Methylmalonyl-CoA;Succinic acid;Succinic acid semialdehyde;Succinyl-CoA;Sulfate;Taurine;UDP-glucose;Uric acid;Uridine diphosphate-N-acetylglucosamine;Uridine triphosphate;Xylulose 5-phosphate
102A 3_1_1;515;1316;675;3286;0;3286;1045;497;0;43015;0;543;5332;1404;0;5930;3995;451;0;18628;4797;372;1045;1414;5555;246154;0;155600;4494;408;3286;0;44480;1616;0;397;11900;135910;0;0;2524;0;3199;939;4901;515;540;41611;4837;43015;42653;3533;0;3179;3968;25026;44480;27717;0;9460;9153;602;0;2078703;1958;4732;8361;892;574;605;98798;1398;1028;0;1622;39945;385;0;52476;4159;689811;5199;18831;2692;546;198535;1969;689811;12431;5332;320131;1463;638395;124801;1028;39373;35349;42671;5398;5274;119121;20756;33457;7077;1364;7764;1301;620;246459;20606;0;873;0;417;533;275177;135910;0;381;0;52476;92124;39794;531;0;2552;526;0;8715;0;0;3863;526;14001;4797;526;53037;71495;1989;20786;7707;460;3533
102A 3_1_2;657;1263;650;3662;0;3662;738;519;0;42983;0;555;5633;1352;0;5811;4039;495;0;18974;4627;391;1181;1453;5863;6729;0;196003;3632;385;3662;0;44751;1767;0;433;12935;136073;0;0;2690;0;3123;1026;5039;657;536;42555;4810;42983;42505;3855;0;3116;3800;29465;44751;28303;0;10341;9383;549;0;2094525;1937;4328;8112;952;1282;467;97593;1512;926;503;1732;40851;0;0;53677;4176;696854;5176;18495;2657;2391;200670;2049;696779;14432;5633;322445;1410;56899;123221;1014;40952;35849;44172;5720;5359;54321;19689;32916;7395;1428;7266;1520;979;6730;24240;0;783;0;406;573;286806;135409;0;0;0;53677;86311;41353;530;0;2309;502;391;9031;0;0;3896;502;14488;4627;502;57578;70512;2797;20789;1446;3092;3855
102A 3_1_3;633;1337;382;3420;0;3420;525;510;0;40322;0;563;5337;1370;0;5685;4179;1578;0;18815;5013;378;525;736;5886;7015;0;205831;5872;477;3420;0;46028;1783;0;478;13740;128541;0;0;2623;0;3212;898;5078;633;504;31125;855;40322;44989;3306;0;3237;3834;30905;46028;27714;0;10307;9709;719;0;2018835;1864;4467;8581;916;459;423;105258;1428;957;0;1848;42396;0;0;49516;3963;671760;5462;18806;2762;2155;190533;2251;671764;14097;5337;315881;1507;635722;128123;1024;36266;32124;42118;3963;5478;113314;19872;35026;6720;1204;7045;1417;575;237901;21759;0;765;0;381;459;290452;128041;0;400;408;49516;81344;36494;512;0;2048;533;372;9142;0;0;3678;533;14451;5013;533;56524;72664;1288;21450;1199;1202;3306
102A 3_2_1;0;908;1733;1289;0;1289;2850;414;0;68393;0;480;5874;903;0;5010;2831;2075;0;5482;3502;0;2663;694;2433;36059;0;15728;1697;378;1289;605;33225;1779;0;0;4580;88729;0;0;1919;0;2568;1007;3516;0;445;30625;8649;68393;32600;3264;0;3775;3656;17787;33225;27130;0;5459;6976;403;0;2037497;2088;4003;7553;902;1829;420;3214;1694;1378;426;1200;7335;430;0;83056;3845;1039825;4413;26433;2555;3325;290759;907;1039806;6145;5874;337043;703;579135;149058;975;265775;39076;74713;4477;6423;101725;27771;30550;6110;1242;5112;687;381;36015;13758;0;2374;0;377;546;278787;87857;520;0;0;83056;20193;266401;512;422;466;471;571;5265;0;0;3184;471;12569;3502;471;52595;89905;5912;13173;8792;0;3264
102A 3_2_2;0;839;1684;1358;0;1358;3103;396;0;66021;0;501;5779;974;0;4963;2791;2036;0;5562;3396;0;3103;680;2299;34838;0;21004;2264;446;1358;539;31272;1965;0;380;4821;85449;0;0;1574;0;2617;955;3448;0;447;31604;8161;66021;29887;3795;0;3800;3716;21223;31272;26348;0;6398;6548;437;0;2007475;1904;3728;7341;851;1457;523;3471;1660;1380;0;1180;7108;0;0;81667;3670;1021823;4374;24960;2404;3483;285791;809;1021823;6106;5779;331870;816;563369;148597;967;267730;37951;70136;4385;6185;101904;26272;30270;5673;1195;5074;718;373;34762;13598;0;2919;0;0;487;257906;84610;573;0;0;81667;19878;268474;485;536;697;415;522;4939;0;0;3124;415;11980;3396;415;52538;87399;6374;12717;12223;522;3795
102A 3_2_3;0;882;1678;1331;0;1331;3050;446;0;64292;0;379;5659;411;0;4960;2636;1840;0;5556;3419;0;3048;673;2171;35768;0;27619;1520;471;1331;565;32340;1976;0;0;2306;82548;0;0;1852;0;2648;896;3472;0;509;31621;7536;64292;30486;3262;0;3814;3812;23901;32340;25764;0;6929;6592;426;0;2049536;1908;3696;6994;840;1724;721;3683;1659;1215;391;1125;7525;402;0;79194;3628;988628;4445;24982;2449;3294;283749;862;988638;6791;5659;326670;718;566864;150647;968;268058;38403;69434;4058;5795;99201;26853;32099;5825;1187;5384;1425;446;35670;14930;0;742;0;0;589;263385;82878;605;462;0;79194;19669;268867;451;539;816;403;515;5106;0;0;3303;403;11636;3419;403;53953;83191;9578;12180;9378;451;3262
231 1_1_1;895;0;0;1285;0;1285;421;1013;0;56198;571;362;5895;0;0;2500;2825;2882;0;3104;4047;0;472;3296;14114;108182;0;30328;1471;994;1285;0;64293;2013;0;0;2507;40757;0;0;725;479;817;475;4302;895;0;31234;1535;56198;47994;5153;0;1461;3074;101588;64293;15858;0;6746;3424;814;0;1690685;0;3065;5253;562;0;355;16675;1190;3212;0;5555;16671;10871;0;65901;3479;895771;3203;7018;701;1089;58217;714;895771;7207;5895;176724;1566;27199;109777;967;16507;20548;42381;3479;9204;59477;15476;26835;7565;0;0;1335;368;108515;9147;354;371;0;0;0;306303;40619;0;0;0;65901;15106;16769;2976;407;0;0;0;3582;400;893;10118;0;12694;4047;0;39250;250406;1435;13575;3872;0;5153
231 1_1_2;903;0;0;877;0;877;454;986;0;59372;525;352;5978;423;0;2388;2672;3277;0;3596;4331;0;454;3581;14854;108581;0;33247;2013;944;877;0;66552;1887;0;0;2557;40926;0;0;484;510;889;738;4557;903;327;31322;1683;59372;47570;5252;0;1383;3092;114057;66552;16835;0;7505;3414;381;0;1682950;0;3153;5259;611;441;0;16584;1198;3461;0;5500;19671;11110;0;64991;3624;937012;3002;1006;734;1282;62476;746;937012;7476;5978;191889;1574;28100;111496;967;16593;20580;43562;3591;9633;58663;15223;26461;7536;0;0;534;396;109062;10317;352;360;0;0;0;316401;40926;0;0;0;64991;16430;16912;2969;690;333;0;359;3618;0;0;11320;0;14116;4331;0;52050;259911;3263;14126;1227;0;5252
231 1_1_3;562;0;0;724;0;724;460;972;0;57328;490;360;5474;0;0;2368;2699;3168;0;3428;3857;0;483;3989;17610;86240;0;35686;1493;913;724;0;63354;1937;0;0;2577;29865;0;0;815;402;914;650;4155;562;0;29640;2323;57328;45176;4835;0;1303;3404;121633;63354;16181;0;7841;3263;362;0;1651188;0;3039;5181;579;345;1012;16629;1058;3310;0;5339;19119;10158;0;65110;3334;903497;3127;1025;607;1230;61551;760;903481;10027;5474;189112;1389;27245;100793;974;154818;18812;45986;3334;9094;57397;14860;25252;7159;0;0;855;430;89168;32025;387;496;0;0;0;321622;29750;0;0;0;65110;19020;154945;2884;746;0;0;347;3468;0;0;11116;0;13690;3857;0;53468;248224;1111;13034;9170;0;4835
231 1_2_1;0;0;0;1033;507;1033;502;860;0;65036;637;0;7006;0;0;2495;1338;3076;0;1764;2484;0;717;2583;11922;51372;0;22112;773;1125;1033;0;37109;1896;0;0;2560;8998;0;0;448;0;571;725;4195;0;0;29788;2566;65036;35028;3194;0;1001;3063;74993;37109;18425;0;5907;3168;328;0;1747714;0;3111;4633;634;1232;795;9003;1243;3468;0;4798;12983;0;0;81394;4021;998371;3424;7205;553;1163;76987;902;1000300;6427;7006;196391;1554;419566;118699;747;17498;28274;46927;4008;7703;61420;17108;23663;7069;0;0;1171;490;51643;7440;0;1563;0;0;0;197931;8998;0;0;0;81394;13595;17543;0;470;0;0;375;4421;0;1757;7415;0;14952;2484;0;39157;242209;7156;12873;12297;367;3194
