HGNC	Cellule361_Rep1	Cellule361_Rep2	Cellule361_Rep3	MDA-MB-231_Rep1	MDA-MB-231_Rep2	MDA-MB-231_Rep3	MCF-7_Rep1	MCF-7_Rep2	MCF-7_Rep3	SK-BR-3_Rep1	SK-BR-3_Rep2	SK-BR-3_Rep3	MCF102A_Rep1	MCF102A_Rep2	MCF102A_Rep3
HGNC:10982	0.682883008	0.655509856	0.758820385	1.706491119	1.729305601	1.76287344	0.91212142	0.718873949	0.676089362	1.351673511	1.107724239	1.402789348	1.728492589	1.104350912	1.040549594
HGNC:10983	1.870701509	1.599468602	1.816544054	5.820635197	6.348190211	6.534325872	6.091066789	4.826598701	4.971500281	3.70722384	2.663714517	2.859807384	2.696064535	1.632307957	2.189716619
HGNC:2323	0.005648686	0.018601564	0.015358433	1.253754164	1.288285519	1.436641203	0.752340299	0.678958585	0.547821358	14.33753165	9.593125031	16.91737795	0.008873223	0.004416669	0.015616074
HGNC:8512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HGNC:10985	2.784934239	2.244483085	3.522718863	11.26735993	10.3146351	11.87016133	13.84431594	6.912627509	8.620739447	3.168771262	1.941147595	2.028227835	2.15857226	0.494240038	0.716362683
HGNC:22921	0.267652837	0.264420515	0.0	0.0	0.0	0.0	0.0	0.595763576	1.216759273	0.0	1.123046325	1.077418777	0.0	0.0	0.0
HGNC:758	16.5380297	19.5700605	18.42401642	5.374943116	4.860830054	3.923994792	115.4608267	132.3093671	101.2683676	74.55259193	55.72967901	66.03761475	66.6374771	88.40902217	94.13594131
HGNC:746	3.544723593	3.101093906	4.87700323	8.980244223	8.577100884	7.956442008	10.32737468	4.158957065	5.411927529	7.95441968	8.80303981	9.047093537	7.969933464	3.68154704	3.390211119
HGNC:663	0.372857698	0.133947223	0.31598255	0.028283539	0.107204481	0.177384247	0.201144641	0.113173249	0.423756073	0.204976432	0.07111255	0.27289345	0.191684458	0.0	0.160641621
HGNC:8109	34.38566132	35.68208811	39.70584735	247.5518401	265.7461656	312.4177337	212.3977214	133.7939	207.5662403	113.4785639	107.3238358	112.4416233	228.7037778	87.63975272	89.63935571
HGNC:11296	115.6403406	133.0434179	123.1359489	223.8109667	253.0120781	213.7593954	317.4675917	359.1056659	377.008813	457.5160082	636.4987855	526.0403119	436.099357	407.7820946	372.5490506
HGNC:11123	35.92535104	35.20839342	31.04655933	40.91766151	42.81836024	47.30077077	38.2200524	47.07701537	40.63883587	31.85167621	30.74175036	28.84565252	67.24558637	49.02870646	60.43512409
