cellLine	yield_glc_silico	yield_glc_wet
MCF102A_A	0.05942917532808189	0.00021883912441839483
MCF102A_B	0.05942917532808189	0.00013173834818841718
SKBR3_A	0.06095771034724832	0.00014225545509608868
SKBR3_B	0.06095771034724832	9.133487748347102e-05
MCF7_A	0.06472822324682774	0.00016671407941786076
MCF7_B	0.06472822324682774	0.00016485270583901115
MDAMB231_A	0.05929453562778227	7.853875738907165e-05
MDAMB231_B	0.05929453562778227	7.510797578876042e-05
MDAMB361_A	0.2139938490593278	0.0005172923655887841
MDAMB361_B	0.2139938490593278	0.0005453016727567267
