	cellLine	tsne-2d-one	tsne-2d-two
0	MCF102A	6.696501	-7.5879436
1	MCF102A	10.122231	-8.769357
2	MCF102A	8.943892	-8.820382
3	MCF102A	2.8270762	-11.04417
4	MCF102A	2.6448526	-4.8706875
5	MCF102A	4.4909186	-9.444306
6	MCF102A	4.8915024	-1.4644275
7	MCF102A	-0.5695122	-3.1595364
8	MCF102A	10.435046	-7.977717
9	MCF102A	15.313963	-5.3453207
10	MCF102A	12.0508375	-0.019278444
11	MCF102A	11.829337	-13.6198845
12	MCF102A	8.231876	-14.508161
13	MCF102A	8.01452	-14.309675
14	MCF102A	11.225342	-12.721899
15	MCF102A	2.0004816	8.590831
16	MCF102A	6.9608793	-14.354011
17	MCF102A	-1.0663328	4.212476
18	MCF102A	11.57804	-1.4685727
19	MCF102A	-6.681004	1.0900443
20	MCF102A	-6.6744924	0.7765667
21	MCF102A	16.335669	-5.776503
22	MCF102A	-0.47943458	-4.9264164
23	MCF102A	-0.062288202	-6.802122
24	MCF102A	1.3741602	1.276928
25	MCF102A	1.6068034	1.2135295
26	MCF102A	13.526419	0.04879737
27	MCF102A	5.3965664	-0.10250341
28	MCF102A	16.038498	-0.7767734
29	MCF102A	15.590078	-0.35157955
30	MCF102A	15.255915	-5.1834974
31	MCF102A	10.72731	-10.530595
32	MCF102A	7.1804204	-13.677493
33	MCF102A	1.5079461	1.3094605
34	MCF102A	-1.4454986	1.3073485
35	MCF102A	2.1469975	7.087954
36	MCF102A	3.7715318	-9.22743
37	MCF102A	13.364056	-5.3733993
38	MCF102A	2.644878	-12.822697
39	MCF102A	3.4525943	-12.607179
40	MCF102A	3.2215548	-11.407855
41	MCF102A	15.866388	-3.9572678
42	MCF102A	4.674305	-13.12246
43	MCF102A	5.3541903	-13.454762
44	MCF102A	0.11095502	-0.621408
45	MCF102A	3.5475636	0.35497597
46	MCF102A	-0.9265353	-6.0874724
47	MCF102A	12.673492	2.2337017
48	MCF102A	12.949304	2.240053
49	MCF102A	11.868227	1.6366321
50	MCF102A	13.1061735	2.0759866
51	MCF102A	15.562415	0.46756142
52	MCF102A	16.485502	-0.72689795
53	MCF102A	16.353838	-0.76605934
54	MCF102A	14.741984	0.54234457
55	MCF102A	12.720969	2.377397
56	MCF102A	12.741011	2.4560614
57	MCF102A	-4.481618	0.06264115
58	MCF102A	9.146898	2.8169003
59	MCF102A	9.154789	2.7543538
60	MCF102A	-4.3724346	-0.8320052
61	MCF102A	-3.6540623	-0.21074381
62	MCF102A	-3.7630086	-1.2650552
63	MCF102A	-3.9279454	-0.9556251
64	MCF102A	-6.244963	0.8854125
65	MCF102A	-6.5583963	0.24907844
66	MCF102A	-4.8128133	2.854987
67	MCF102A	8.037634	3.3181365
68	MCF102A	7.848006	2.059132
69	MCF102A	1.8766392	-12.2011175
70	MCF102A	11.75959	-8.429453
71	MCF102A	1.9985439	-11.849804
