	cellLine	tsne-2d-one	tsne-2d-two
170	MCF102A	48.394653	-19.079473
171	MCF102A	45.62687	-24.68916
172	MCF102A	37.0175	-23.515919
173	MCF102A	29.777761	-23.648142
174	MCF102A	51.90861	-21.602957
175	MCF102A	52.03661	-22.018942
176	MCF102A	53.2367	-31.522163
177	MCF102A	49.407127	-20.159733
178	MCF102A	40.872486	-12.659766
179	MCF102A	38.985813	4.14693
180	MCF102A	47.58849	-1.5148672
181	MCF102A	47.543617	-1.4302955
182	MCF102A	36.46812	-15.993718
183	MCF102A	36.327656	-16.332163
184	MCF102A	36.513893	-16.398134
185	MCF102A	24.924109	9.441468
186	MCF102A	33.185627	11.517156
187	MCF102A	41.87715	31.885233
188	MCF102A	31.767855	13.782528
189	MCF102A	36.75251	31.780823
190	MCF102A	40.098663	35.486805
191	MCF102A	40.675087	35.844822
192	MCF102A	41.943512	32.586143
193	MCF102A	41.87924	32.03478
194	MCF102A	41.83065	33.08904
195	MCF102A	42.493687	33.21712
196	MCF102A	51.422657	33.636665
197	MCF102A	34.460106	33.031635
198	MCF102A	34.499973	33.04873
199	MCF102A	46.07676	32.409737
200	MCF102A	43.28321	32.934612
201	MCF102A	44.261314	32.80095
202	MCF102A	44.335297	32.8622
203	MCF102A	42.54345	30.902136
204	MCF102A	42.36918	32.41875
205	MCF102A	47.357037	32.082253
206	MCF102A	48.50452	30.097815
207	MCF102A	43.19897	26.415575
208	MCF102A	40.352077	15.096693
209	MCF102A	48.60152	32.56341
210	MCF102A	49.327484	33.116837
211	MCF102A	42.145645	20.255426
212	MCF102A	42.908844	32.207455
213	MCF102A	46.250946	32.835644
214	MCF102A	47.11132	32.429142
215	MCF102A	34.19303	29.517593
216	MCF102A	46.86783	35.080833
217	MCF102A	36.41553	29.433317
218	MCF102A	39.34152	15.629951
219	MCF102A	39.02413	15.576161
220	MCF102A	42.44229	31.375284
221	MCF102A	42.40169	31.282
222	MCF102A	44.40185	34.000614
223	MCF102A	43.76199	31.745838
224	MCF102A	36.824253	33.692715
225	MCF102A	36.696835	33.60784
226	MCF102A	36.65014	33.562405
227	MCF102A	36.669582	33.44298
228	MCF102A	47.827633	38.272102
229	MCF102A	47.41137	38.08205
230	MCF102A	46.716454	38.41613
231	MCF102A	33.765583	29.96129
232	MCF102A	43.22692	32.35347
233	MCF102A	42.820263	32.06181
234	MCF102A	44.83358	33.109745
235	MCF102A	44.140556	32.904083
236	MCF102A	47.5226	26.410206
237	MCF102A	47.092438	33.404434
238	MCF102A	45.37181	35.06166
239	MCF102A	45.50987	35.26374
240	MCF102A	42.151623	31.985043
241	MCF102A	41.91214	31.880365
242	MCF102A	42.94153	29.376833
243	MCF102A	43.069046	29.373539
244	MCF102A	43.280502	29.454805
245	MCF102A	42.809875	30.574295
246	MCF102A	42.1029	32.118874
247	MCF102A	42.12255	32.19537
248	MCF102A	44.111263	32.19269
249	MCF102A	42.627323	32.777004
250	MCF102A	42.65752	32.80428
251	MCF102A	42.96342	29.87145
252	MCF102A	51.920067	33.118626
