	cellLine	tsne-2d-one	tsne-2d-two
0	MCF102A	24.77478	-47.068527
1	MCF102A	11.20863	-48.115917
2	MCF102A	22.84167	-54.284245
3	MCF102A	3.1219745	-57.70123
4	MCF102A	-9.668979	-40.70525
5	MCF102A	-9.365655	-40.728657
6	MCF102A	-3.2312632	-47.154095
7	MCF102A	22.8653	-42.267086
8	MCF102A	24.969137	-46.452435
9	MCF102A	-7.492767	-44.54595
10	MCF102A	-7.8488173	-44.973442
11	MCF102A	1.1842608	-36.64439
12	MCF102A	11.639685	-36.717865
13	MCF102A	1.3748591	-43.417976
14	MCF102A	1.53366	-43.265076
15	MCF102A	5.4841905	-35.751038
16	MCF102A	10.014754	-37.579693
17	MCF102A	0.018932592	-38.887005
18	MCF102A	-0.028932909	-36.263294
19	MCF102A	11.114391	-42.64753
20	MCF102A	15.034207	-40.934113
21	MCF102A	-2.312621	-38.958664
22	MCF102A	-2.477687	-44.622807
23	MCF102A	-0.64855665	-46.652718
24	MCF102A	0.08739836	-45.550728
25	MCF102A	11.95539	-35.513783
26	MCF102A	11.389141	-42.77719
27	MCF102A	8.639466	-43.21044
28	MCF102A	-5.4767685	-39.757523
29	MCF102A	16.982485	-40.141697
30	MCF102A	13.4681015	-41.16993
31	MCF102A	2.8051543	-34.51698
32	MCF102A	2.596589	-34.906925
33	MCF102A	9.342201	-35.501793
34	MCF102A	13.482319	-41.424694
35	MCF102A	2.2428195	-35.90432
36	MCF102A	11.614744	-33.43257
37	MCF102A	11.642066	-33.462326
38	MCF102A	0.5008475	-47.275105
39	MCF102A	0.12406783	-44.122433
40	MCF102A	9.523697	-35.910755
41	MCF102A	0.5406397	-40.43398
42	MCF102A	14.0585985	-42.040405
43	MCF102A	21.397655	-44.912106
44	MCF102A	11.23208	-43.153812
45	MCF102A	-6.04016	-41.94417
46	MCF102A	7.663107	-35.133564
47	MCF102A	2.683896	-36.525852
48	MCF102A	2.7885087	-38.119568
49	MCF102A	17.025957	-39.727364
50	MCF102A	9.923582	-36.67314
51	MCF102A	9.662512	-36.578938
52	MCF102A	15.243547	-41.62886
53	MCF102A	4.4865856	-36.468155
54	MCF102A	7.497696	-55.456963
55	MCF102A	7.0552387	-55.306286
56	MCF102A	18.161787	-37.880207
57	MCF102A	7.799806	-55.832317
58	MCF102A	10.468169	-57.118057
59	MCF102A	10.106192	-57.4271
60	MCF102A	10.058055	-57.26042
61	MCF102A	10.126248	-56.587498
62	MCF102A	7.034742	-55.073948
63	MCF102A	9.265554	-55.796627
64	MCF102A	8.965613	-55.978497
65	MCF102A	6.79109	-55.530407
66	MCF102A	21.585596	-56.04886
67	MCF102A	-0.5816423	-47.631557
68	MCF102A	13.020282	-47.34575
69	MCF102A	12.898241	-47.533276
70	MCF102A	1.8839079	-56.16882
71	MCF102A	6.5717683	-55.68512
72	MCF102A	6.516437	-55.60132
73	MCF102A	6.51974	-55.56399
74	MCF102A	6.5983973	-55.731983
75	MCF102A	-3.1710694	-56.572903
76	MCF102A	-3.0085354	-57.047127
77	MCF102A	-1.9999313	-56.7463
78	MCF102A	20.811262	-54.85549
79	MCF102A	19.754171	-55.08814
80	MCF102A	-10.609184	-43.496925
81	MCF102A	-5.8213425	-38.10896
82	MCF102A	16.844963	-43.8814
83	MCF102A	0.39540088	-51.495823
84	MCF102A	-0.18470578	-52.838642
85	MCF102A	20.53845	-52.89869
86	MCF102A	-0.7319294	-51.85754
87	MCF102A	4.5424013	-56.60657
88	MCF102A	19.986027	-53.55529
89	MCF102A	12.640446	-46.407875
90	MCF102A	-4.025434	-54.867027
91	MCF102A	2.054098	-55.65794
92	MCF102A	1.5356002	-56.724545
93	MCF102A	12.57381	-40.190567
94	MCF102A	1.7296165	-50.881077
95	MCF102A	12.986838	-42.234863
96	MCF102A	10.7381735	-46.51452
97	MCF102A	9.393965	-44.920116
98	MCF102A	11.217539	-41.18419
99	MCF102A	9.066506	-46.7744
100	MCF102A	8.87539	-46.7792
101	MCF102A	8.808813	-46.685535
102	MCF102A	4.8160715	-45.97413
103	MCF102A	3.8105786	-51.196774
104	MCF102A	2.9774864	-51.519928
105	MCF102A	8.804872	-47.26749
106	MCF102A	14.469663	-52.15126
107	MCF102A	15.444683	-51.003963
108	MCF102A	15.485465	-50.710396
109	MCF102A	9.3064375	-46.21966
110	MCF102A	21.386408	-47.783943
111	MCF102A	17.331532	-52.36522
112	MCF102A	17.588173	-52.28472
113	MCF102A	16.274897	-48.12385
114	MCF102A	19.777672	-45.853542
115	MCF102A	13.908821	-40.142273
116	MCF102A	11.167461	-40.979916
117	MCF102A	11.116825	-40.716755
118	MCF102A	11.367282	-40.567535
119	MCF102A	19.829042	-46.702686
120	MCF102A	19.60117	-46.15517
121	MCF102A	19.118591	-45.977325
122	MCF102A	5.824005	-47.397755
123	MCF102A	-3.8926976	-33.6882
124	MCF102A	-7.284423	-39.403725
125	MCF102A	-7.25626	-39.433426
126	MCF102A	13.735814	-53.404392
127	MCF102A	25.80342	-48.518322
128	MCF102A	22.929657	-50.59582
129	MCF102A	25.505793	-48.600765
130	MCF102A	17.716024	-49.78759
131	MCF102A	17.031149	-45.011677
132	MCF102A	9.1371	-43.78842
133	MCF102A	11.627278	-45.98032
134	MCF102A	12.068577	-46.47834
135	MCF102A	9.597316	-44.1144
136	MCF102A	0.10598116	-39.319725
137	MCF102A	0.61683506	-39.42073
138	MCF102A	8.493063	-43.06827
139	MCF102A	2.0628169	-43.136364
140	MCF102A	-0.35952076	-38.95212
141	MCF102A	-5.632506	-35.757412
142	MCF102A	-4.986961	-35.59115
143	MCF102A	-1.2337846	-39.862682
144	MCF102A	5.197389	-45.998356
145	MCF102A	4.782599	-46.37481
146	MCF102A	-5.855885	-40.956867
147	MCF102A	-6.2013907	-40.87545
148	MCF102A	-6.26709	-40.181087
149	MCF102A	-8.4549675	-35.685135
150	MCF102A	15.823175	-42.329475
151	MCF102A	15.792332	-44.128002
152	MCF102A	6.8300686	-58.05349
153	MCF102A	7.2729774	-58.14377
154	MCF102A	13.001593	-58.71941
155	MCF102A	6.6944675	-57.938507
156	MCF102A	6.7771955	-57.903618
157	MCF102A	14.691853	-57.74788
158	MCF102A	13.255481	-56.665203
159	MCF102A	8.681261	-54.58789
160	MCF102A	9.11376	-42.843628
161	MCF102A	0.1341277	-44.89353
162	MCF102A	-0.2694525	-44.271168
163	MCF102A	21.43402	-48.673264
164	MCF102A	11.473582	-41.880733
165	MCF102A	22.752424	-55.88069
166	MCF102A	-0.8188675	-55.970005
167	MCF102A	22.118246	-48.601482
168	MCF102A	11.430918	-34.17091
169	MCF102A	8.76451	-62.58107
170	MCF102A	-0.6465236	-55.670673
171	MCF102A	-0.44290704	-55.78528
172	MCF102A	24.131289	-53.12235
173	MCF102A	-4.5244007	-55.16472
174	MCF102A	-4.538513	-55.201836
175	MCF102A	-3.2615716	-55.53968
176	MCF102A	-2.8161824	-55.849556
177	MCF102A	-1.9228204	-58.012474
178	MCF102A	-4.7159023	-56.148823
179	MCF102A	-4.7091546	-56.01341
180	MCF102A	-3.5163493	-57.450687
181	MCF102A	-1.7899654	-56.17394
182	MCF102A	-2.0255609	-56.034405
183	MCF102A	-2.2048063	-56.177883
184	MCF102A	24.798538	-53.038555
