,PGI,FBA,PGK,DPGM,PGM_f,G6PDH2r,GND,RPI,TKT2_f,RPE_f,TALA_f,PDHm,ACONTm_f,AKGDm,MDHm_f,ME1m,ME2m,ME2,MDH_f,AKGMALtm_f,ACONT,r0801_f,ADSL2r,AICART,ADSS,ADSL1r,RNDR2,RNDR1,ASPTA_f,ASPT,ARGSL,GLYAMDTRc,GLU5SAtmc_f,G5SADs_f,METS,CYSTS,5MTHFt,LEUTA,LEUTAm,VALTA,VALTAim,MMEm,MMMm,LEUt5m,VALt5m,PGCD,SERD_L,r1435,GLYtm_r,MLTHFtm_r,r0962,r0514,FOLR2,ACACT1r,IPDDI,HMR_1465,SUCFUMtm_r,DmLact,DmGSSG,DmAla,DmAsp,r0450,CYSTA,3SALAASPm,TYRTA,PPCOAtm,OCOAT1m,GLYC3Ptm,Transport_4abut_c_e,TKT2_b,RPE_b,TKT1_b,TALA_b,SUCOAS1m_b,FUMm_b,FUM_b,AKGMALtm_b,r0801_b,GLU5SAtmc_b,ALATA_L_b,MTHFD2i_b
"('MCF102A', 'MDAMB231')",0.1103569196115953,-0.9214587017849969,40.2177729680115,23.98530754436938,0.11529602755139425,0.40493051968759713,-0.3647550739466368,0.7039763671958301,3.7064889689536655,0.7039763671958301,0.9045487896380202,0.0,2.164655275178177,0.0,0.7697358953335448,0.7697358953335448,0.6129941827756524,0.6129941827756524,0.7697358953335448,2.209103256252669,2.164655275178177,0.12063032513683,-21.47368956687232,34.45079783983963,-1.0350443963847678,19.189251885933604,-0.05308366866414621,1.745323765361085,4.179329800364073,2.025186008530908,21.16115710728646,2.4285580532452813,-0.2865996224721935,-0.2865996224721935,0.0,-0.8889902988256474,0.0,2.300927626812143,2.300927626812143,1.449402096822224,1.449402096822224,20.59453449322213,20.59453449322213,0.06136287101256663,-0.7238582955878711,1.2778681528901281,-0.32821176415980235,-0.32821176415980235,0.6521598783160684,4.403800974999471,-0.27893518004294576,-2.426373202571257,-2.426373202571257,-0.19363497494790238,0.0,3.356774738274945,0.09173307567027975,1.3295037493676063,-0.014858113553221815,2.4852734851070672,2.025186008530908,1.9719456766859778,1.6633307498658347,0.7587496841866953,2.401089056607297,19.633488990195467,32.62884314276649,0.5360137536238853,0.15646842987808207,1.750174656285222,0.7039763671958301,0.9045487896380202,2.7400641200096265,0.0,0.08629781660670861,0.08629781660670861,2.209103256252669,0.12063032513683,-0.2865996224721935,4.790791771337431,5.660981704995595
"('MCF102A', 'MDAMB361')",-0.561612377366784,-0.7422504574766484,-1.885083654865387,-0.8772348978114225,-0.06204621144814354,-1.4455623831445439,-0.4441026876076009,1.0250909511311381,2.1242432128818765,1.0250909511311381,0.662221522603037,0.0,-0.26038365751927944,0.0,-0.9256646721202215,-0.9256646721202215,-0.9347978277316087,-0.9347978277316087,-0.9256646721202215,-0.5997457202159633,-0.26038365751927944,-2.0339993477467813,0.0,1.0262857985972345,-3.000635782307388,19.189251885933604,-1.131309368194556,-0.9396267931805246,-0.09463269003431932,0.17473444352746925,21.16115710728646,0.12046864107992546,-0.19676592209953392,-0.19676592209953392,0.0,-2.905825155251664,0.0,-1.0239456552454251,-1.0239456552454251,-1.3973248168575456,-1.3973248168575456,-2.5571061700587077,-2.5571061700587077,-0.7582313382443983,-1.1153514802617608,-0.18255558086364226,-0.9745295408060292,-0.9745295408060292,0.17414490986236117,23.225495040278215,-0.6768167215376567,0.7063981860246633,0.7063981860246633,-0.9175731609216378,0.0,-0.23712503569487564,-1.032092624626694,-0.4518799588987962,-0.4213627706183241,-0.06851071204545205,0.17473444352746925,-1.4057689764845314,-0.3695589954614473,-1.293126816362938,-1.1500628450092623,-0.2299743923962742,-3.0618773439246234,-0.27150330816085044,-0.4873367028372464,0.40920860199253917,1.0250909511311381,0.662221522603037,0.4805643258379224,0.0,-0.33904458072132054,-0.33904458072132054,-0.5997457202159633,-2.0339993477467813,-0.19676592209953392,-0.33933722151481577,37.72130291780671
"('MCF102A', 'MCF7')",-0.20906067114645385,-0.5076120515172886,1.046163546268877,0.5024962648119267,0.24077857038379932,-0.6021539090602365,-3.109804521828059,-1.2134285831012896,0.32271633949688067,-1.2134285831012896,-0.07926285582154147,0.0,0.4111890802928392,0.0,-1.1408665100316917,-1.1408665100316917,-0.520521591544503,-0.520521591544503,-1.1408665100316917,-0.19278093417713954,0.4111890802928392,-1.4925840716358674,-22.80822210910975,-0.25073543688943667,-4.396354505215939,-3.1923917464495557,-1.4300402631207487,0.5782745671095803,0.44112250291475025,0.07268879277785277,-0.9506304163015703,-0.44999131692989636,-2.252194337877672,-2.252194337877672,-30.21616778434077,-1.8491107832703326,-19.19727429530767,-0.7447852964419587,-0.7447852964419587,-1.1329626145340235,-1.1329626145340235,20.59453449322213,20.59453449322213,-1.1788337619490996,-1.5141463358546183,-0.45769518054537317,-1.0349050836264921,-1.0349050836264921,-0.5423068025198714,0.18159681648439668,-0.9364475207513266,-0.7387804518653568,-0.7387804518653568,0.8910721903461284,-19.066157530124165,2.2710001076622937,-2.33421930891632,0.773368915991581,-0.490606505355186,0.18404709431694924,0.07268879277785277,-0.8178171400128212,-1.9199376631896037,-1.6073189191668338,-0.5402871874269399,19.633488990195467,32.62884314276649,-0.8300446874961853,-0.19354252970601635,1.4709066926111536,-1.2134285831012896,-0.07926285582154147,1.2720053484665674,0.0,-0.2879474189138079,-0.2879474189138079,-0.19278093417713954,-1.4925840716358674,-2.252194337877672,0.5290658560622603,-0.2624271535897192
"('MCF102A', 'SKBR3')",1.447074013376595,-0.733881147170489,3.3832209874728028,1.9602536172479936,-1.4093454821592761,1.4627049980851263,-1.0869920073406107,0.3668375930091371,34.15733667761042,0.3668375930091371,3.2514454709610896,-49.7626171950525,2.190072044877414,-46.74106947418383,2.1336920218772155,2.1336920218772155,-0.12416594930424271,-0.12416594930424271,2.1336920218772155,1.513608341958259,2.190072044877414,-0.5582891724172195,-22.25781855783758,34.45079783983963,0.6424022162526056,-2.436578222879234,-0.6530209657437781,1.5151348335616353,5.3570260954876066,3.228621234222659,21.16115710728646,1.5088988490277822,-0.46796536148435414,-0.46796536148435414,0.0,-1.38263371287551,0.0,1.7159988121031569,1.7159988121031569,0.9838011773465263,0.9838011773465263,20.59453449322213,20.59453449322213,-0.514664174609042,-1.1949316896449516,1.4980995338119136,-0.9993448295161587,-0.9993448295161587,0.06527050843772894,4.609852233452546,-1.0203896376719745,-3.7010389356167654,-3.7010389356167654,1.305947743320196,0.0,3.120718359415345,0.510700242997247,0.13822153428215628,0.4122374546375776,2.7503247363882397,3.228621234222659,4.358771302925093,1.583367281874799,1.6124747742032755,1.9267713918123062,1.1847811496426603,32.62884314276649,0.530779836605417,0.8014170432172196,4.661479275468683,0.3668375930091371,3.2514454709610896,37.42596287983373,-45.06095555098209,-0.47348805000128935,-0.47348805000128935,1.513608341958259,-0.5582891724172195,-0.46796536148435414,4.894231958967785,7.289486660697488
"('MDAMB231', 'MDAMB361')",-0.6719692969783793,0.1792082443083483,-42.10285662287689,-24.862542442180803,-0.17734223899953774,-1.850492902832141,-0.0793476136609641,0.3211145839353081,-1.5822457560717895,0.3211145839353081,-0.24232726703498308,0.0,-2.425038932697456,0.0,-1.6954005674537664,-1.6954005674537664,-1.5477920105072611,-1.5477920105072611,-1.6954005674537664,-2.808848976468632,-2.425038932697456,-2.1546296728836114,21.47368956687232,-33.424512041242394,-1.9655913859226204,0.0,-1.07822569953041,-2.6849505585416096,-4.273962490398392,-1.850451565003439,0.0,-2.308089412165356,0.08983370037265957,0.08983370037265957,0.0,-2.016834856426016,0.0,-3.3248732820575677,-3.3248732820575677,-2.84672691367977,-2.84672691367977,-23.151640663280837,-23.151640663280837,-0.8195942092569648,-0.39149318467388977,-1.4604237337537702,-0.6463177766462269,-0.6463177766462269,-0.4780149684537072,18.821694065278745,-0.3978815414947108,3.1327713885959203,3.1327713885959203,-0.7239381859737354,0.0,-3.5938997739698206,-1.1238257002969736,-1.7813837082664024,-0.40650465706510225,-2.553784197152519,-1.850451565003439,-3.377714653170509,-2.032889745327282,-2.0518765005496333,-3.551151901616559,-19.863463382591743,-35.69072048669112,-0.8075170617847357,-0.6438051327153287,-1.3409660542926831,0.3211145839353081,-0.24232726703498308,-2.259499794171704,0.0,-0.4253423973280294,-0.4253423973280294,-2.808848976468632,-2.1546296728836114,0.08983370037265957,-5.130128992852247,32.06032121281112
"('MDAMB231', 'MCF7')",-0.31941759075804915,0.41384665026770817,-39.17160942174262,-23.482811279557453,0.12548254283240518,-1.0070844287478335,-2.745049447881422,-1.9174049502971198,-3.383772629456785,-1.9174049502971198,-0.9838116454595618,0.0,-1.7534661948853376,0.0,-1.9106024053652364,-1.9106024053652364,-1.1335157743201554,-1.1335157743201554,-1.9106024053652364,-2.4018841904298083,-1.7534661948853376,-1.6132143967726975,-1.3345325422374288,-34.701533276729066,-3.3613101088311708,-22.38164363238316,-1.3769565944566027,-1.1670491982515048,-3.738207297449322,-1.9524972157530558,-22.11178752358803,-2.8785493701751776,-1.9655947154054783,-1.9655947154054783,-30.21616778434077,-0.9601204844446849,-19.19727429530767,-3.045712923254101,-3.045712923254101,-2.5823647113562473,-2.5823647113562473,0.0,0.0,-1.2401966329616665,-0.7902880402667474,-1.7355633334355012,-0.7066933194666898,-0.7066933194666898,-1.1944666808359397,-4.2222041585150745,-0.657512340708381,1.6875927507059003,1.6875927507059003,1.084707165294031,-19.066157530124165,-1.0857746306126514,-2.4259523845866,-0.5561348333760253,-0.4757483918019641,-2.301226390790118,-1.9524972157530558,-2.789762816698799,-3.583268413055438,-2.366068603353529,-2.941376244034237,0.0,0.0,-1.3660584411200705,-0.35001095958409867,-0.2792679636740687,-1.9174049502971198,-0.9838116454595618,-1.4680587715430589,0.0,-0.3742452355205165,-0.3742452355205165,-2.4018841904298083,-1.6132143967726975,-1.9655947154054783,-4.2617259152751705,-5.923408858585313
"('MDAMB231', 'SKBR3')",1.3367170937649997,0.18757755461450776,-36.8345519805387,-22.025053927121387,-1.5246415097106703,1.0577744783975294,-0.7222369333939738,-0.33713877418669286,30.450847708656752,-0.33713877418669286,2.346896681323069,-49.7626171950525,0.025416769699237285,-46.74106947418383,1.363956126543671,1.363956126543671,-0.7371601320798951,-0.7371601320798951,1.363956126543671,-0.6954949142944098,0.025416769699237285,-0.6789194975540495,-0.7841289909652603,0.0,1.6774466126373733,-21.62583010881284,-0.5999372970796317,-0.2301889317994496,1.1776962951235337,1.2034352256917507,0.0,-0.9196592042174991,-0.1813657390121607,-0.1813657390121607,0.0,-0.49364341404986234,0.0,-0.5849288147089856,-0.5849288147089856,-0.4656009194756979,-0.4656009194756979,0.0,0.0,-0.5760270456216088,-0.47107339405708054,0.22023138092178565,-0.6711330653563564,-0.6711330653563564,-0.5868893698783394,0.20605125845307498,-0.7414544576290287,-1.2746657330455082,-1.2746657330455082,1.4995827182680985,0.0,-0.2360563788596,0.4189671673269674,-1.1912822150854498,0.4270955681907994,0.2650512512811729,1.2034352256917507,2.386825626239115,-0.07996346799103576,0.8537250900165801,-0.4743176647949903,-18.448707840552807,0.0,-0.005233917018468146,0.6449486133391374,2.9113046191834613,-0.33713877418669286,2.346896681323069,34.685898759824106,-45.06095555098209,-0.559785866607998,-0.559785866607998,-0.6954949142944098,-0.6789194975540495,-0.1813657390121607,0.10344018763035423,1.6285049557018931
"('MDAMB361', 'MCF7')",0.35255170622033016,0.2346384059593597,2.931247201134264,1.379731162623349,0.30282478183194295,0.8434084740843074,-2.665701834220458,-2.2385195342324278,-1.8015268733849954,-2.2385195342324278,-0.7414843784245785,0.0,0.6715727378121189,0.0,-0.21520183791147013,-0.21520183791147013,0.41427623618710563,0.41427623618710563,-0.21520183791147013,0.4069647860388236,0.6715727378121189,0.5414152761109138,-22.80822210910975,-1.2770212354866715,-1.3957187229085506,-22.38164363238316,-0.2987308949261927,1.5179013602901046,0.5357551929490697,-0.10204565074961641,-22.11178752358803,-0.5704599580098219,-2.0554284157781377,-2.0554284157781377,-30.21616778434077,1.0567143719813312,-19.19727429530767,0.27916035880346657,0.27916035880346657,0.26436220232352226,0.26436220232352226,23.151640663280837,23.151640663280837,-0.4206024237047015,-0.39879485559285754,-0.275139599681731,-0.06037554282046287,-0.06037554282046287,-0.7164517123822324,-23.043898223793818,-0.25963079921366994,-1.4451786378900202,-1.4451786378900202,1.808645351267766,-19.066157530124165,2.5081251433571694,-1.3021266842896264,1.225248874890377,-0.06924373473686185,0.2525578063624014,-0.10204565074961641,0.5879518364717102,-1.5503786677281564,-0.314192102803896,0.6097756575823222,19.863463382591743,35.69072048669112,-0.558541379335335,0.29379417313123,1.0616980906186144,-2.2385195342324278,-0.7414843784245785,0.7914410226286451,0.0,0.05109716180751288,0.05109716180751288,0.4069647860388236,0.5414152761109138,-2.0554284157781377,0.868403077577076,-37.98373007139643
"('MDAMB361', 'SKBR3')",2.008686390743379,0.008369310306159295,5.268304642338189,2.837488515059416,-1.3472992707111326,2.9082673812296704,-0.6428893197330097,-0.6582533581220009,32.03309346472854,-0.6582533581220009,2.5892239483580526,-49.7626171950525,2.4504557023966935,-46.74106947418383,3.0593566939974375,3.0593566939974375,0.810631878427366,0.810631878427366,3.0593566939974375,2.1133540621742224,2.4504557023966935,1.4757101753295618,-22.25781855783758,33.424512041242394,3.643037998559994,-21.62583010881284,0.47828840245077814,2.45476162674216,5.451658785521926,3.0538867906951896,0.0,1.3884302079478565,-0.27119943938482016,-0.27119943938482016,0.0,1.523191442376154,0.0,2.739944467348582,2.739944467348582,2.381125994204072,2.381125994204072,23.151640663280837,23.151640663280837,0.2435671636353561,-0.07958020938319078,1.6806551146755557,-0.024815288710129686,-0.024815288710129686,-0.1088744014246322,-18.61564280682567,-0.343572916134318,-4.407437121641428,-4.407437121641428,2.2235209042418336,0.0,3.357843395110221,1.542792867623941,0.5901014931809524,0.8336002252559017,2.818835448433692,3.0538867906951896,5.7645402794096245,1.9529262773362464,2.905601590566213,3.0768342368215684,1.4147555420389344,35.69072048669112,0.8022831447662675,1.288753746054466,4.252270673476144,-0.6582533581220009,2.5892239483580526,36.94539855399581,-45.06095555098209,-0.1344434692799688,-0.1344434692799688,2.1133540621742224,1.4757101753295618,-0.27119943938482016,5.233569180482601,-30.431816257109226
"('MCF7', 'SKBR3')",1.656134684523049,-0.22626909565320039,2.3370574412039256,1.4577573524360672,-1.6501240525430754,2.064858907145363,2.0228125144874483,1.580266176110427,33.83462033811354,1.580266176110427,3.3307083267826307,-49.7626171950525,1.7788829645845747,-46.74106947418383,3.2745585319089074,3.2745585319089074,0.3963556422402602,0.3963556422402602,3.2745585319089074,1.7063892761353987,1.7788829645845747,0.9342948992186481,0.5504035512721684,34.701533276729066,5.038756721468545,0.755813523570321,0.7770192973769707,0.9368602664520552,4.915903592572856,3.155932441444806,22.11178752358803,1.9588901659576785,1.7842289763933177,1.7842289763933177,30.21616778434077,0.4664770703948226,19.197274295307665,2.4607841085451154,2.4607841085451154,2.1167637918805497,2.1167637918805497,0.0,0.0,0.6641695873400577,0.3192146462096669,1.9557947143572867,0.03556025411033329,0.03556025411033329,0.6075773109576003,4.42825541696815,-0.08394211692064799,-2.9622584837514085,-2.9622584837514085,0.4148755529740677,19.066157530124165,0.8497182517530516,2.8449195519135673,-0.6351473817094246,0.9028439599927636,2.5662776420712907,3.155932441444806,5.1765884429379145,3.5033049450644027,3.219793693370109,2.4670585792392465,-18.448707840552807,0.0,1.3608245241016024,0.994959572923236,3.19057258285753,1.580266176110427,3.3307083267826307,36.15395753136717,-45.06095555098209,-0.1855406310874815,-0.1855406310874815,1.7063892761353987,0.9342948992186481,1.7842289763933177,4.365166102905524,7.551913814287206
