	cellLine	tsne-2d-one	tsne-2d-two
172	MCF102A	4.4101586	32.273346
173	MCF102A	4.8966165	33.461002
174	MCF102A	4.6709175	33.150883
175	MCF102A	4.5195966	32.9059
176	MCF102A	4.1601124	32.077763
177	MCF102A	3.6715815	30.868244
178	MCF102A	3.703279	30.845871
179	MCF102A	3.7033086	30.870234
180	MCF102A	3.6194165	30.651178
181	MCF102A	3.4946227	30.466547
182	MCF102A	3.5503662	30.581638
183	MCF102A	3.4678857	30.476381
184	MCF102A	3.512445	30.572126
185	MCF102A	3.6117191	30.728027
186	MCF102A	3.5951934	30.625677
187	MCF102A	3.656124	30.729334
188	MCF102A	3.6735158	30.74518
189	MCF102A	3.5819638	30.512047
190	MCF102A	3.7191203	30.68725
191	MCF102A	3.775435	30.774418
192	MCF102A	3.7334843	30.681993
193	MCF102A	3.7203593	30.630098
194	MCF102A	3.6910841	30.633814
195	MCF102A	3.7507021	30.90526
196	MCF102A	3.8777454	30.955912
197	MCF102A	3.7930322	30.805826
198	MCF102A	3.8707163	30.922165
199	MCF102A	3.842461	30.864964
200	MCF102A	3.7968895	30.690655
201	MCF102A	3.8367436	30.735226
202	MCF102A	3.8472245	30.762373
203	MCF102A	3.991312	31.106268
204	MCF102A	4.0919514	31.381418
205	MCF102A	4.164594	31.355963
206	MCF102A	3.905716	30.777254
207	MCF102A	3.7716136	29.977266
208	MCF102A	4.2208505	30.364061
209	MCF102A	3.322769	29.273205
210	MCF102A	3.8356404	30.26284
211	MCF102A	4.1052246	29.984941
212	MCF102A	3.527708	29.105782
213	MCF102A	3.4036024	28.76448
214	MCF102A	3.5349464	28.840998
215	MCF102A	3.6262326	29.058815
216	MCF102A	3.642009	28.84073
217	MCF102A	3.5163496	28.830404
218	MCF102A	3.8065643	28.915487
219	MCF102A	3.7501101	28.82358
220	MCF102A	3.7481062	28.96477
221	MCF102A	3.8539505	29.050745
222	MCF102A	3.9377382	29.160511
223	MCF102A	4.023209	29.279694
224	MCF102A	5.6231804	30.719906
225	MCF102A	5.5938625	30.576546
226	MCF102A	5.8723316	30.642014
227	MCF102A	7.3272586	32.390026
228	MCF102A	5.992768	30.969303
229	MCF102A	6.184351	30.901783
230	MCF102A	6.4038806	31.143984
231	MCF102A	7.4560814	32.82873
232	MCF102A	7.432905	32.70866
233	MCF102A	7.2843165	32.846592
234	MCF102A	5.4480443	30.114967
235	MCF102A	3.8971748	28.920055
236	MCF102A	3.6820002	28.844955
237	MCF102A	3.9364052	29.269726
238	MCF102A	3.7810977	29.609694
239	MCF102A	3.531348	29.234945
240	MCF102A	3.4495895	29.0233
241	MCF102A	3.941174	29.152115
242	MCF102A	3.394815	28.660704
243	MCF102A	3.2859066	28.480381
244	MCF102A	3.485664	28.593874
245	MCF102A	2.955847	28.943106
246	MCF102A	2.7997026	28.767588
247	MCF102A	3.2973537	29.112198
248	MCF102A	3.7203538	29.855669
249	MCF102A	3.6625516	29.815798
250	MCF102A	4.039073	30.256441
251	MCF102A	3.7296486	29.924326
252	MCF102A	3.5569708	29.461678
253	MCF102A	3.7605977	29.566332
254	MCF102A	3.0750022	28.813019
255	MCF102A	2.6338608	29.012875
256	MCF102A	2.64119	28.956522
257	MCF102A	2.5745015	28.98898
258	MCF102A	2.5484023	28.997168
259	MCF102A	2.5710375	29.034933
260	MCF102A	2.5051837	29.066912
261	MCF102A	2.4774413	29.042784
262	MCF102A	2.575806	29.091095
263	MCF102A	2.6166136	29.309475
264	MCF102A	2.7966285	29.198109
265	MCF102A	2.7208948	29.075712
266	MCF102A	2.8075342	29.11718
267	MCF102A	2.910209	29.02637
268	MCF102A	2.7508464	28.784111
269	MCF102A	2.7178295	28.740183
270	MCF102A	2.6453135	28.9816
271	MCF102A	2.7116554	29.195906
272	MCF102A	2.8141327	29.386007
273	MCF102A	2.526906	29.063814
274	MCF102A	2.5410793	28.990967
275	MCF102A	2.6993666	29.099049
276	MCF102A	2.6970568	29.110893
277	MCF102A	3.3386667	30.179655
278	MCF102A	3.0919461	29.718107
279	MCF102A	2.9723058	29.673134
280	MCF102A	2.926404	29.478695
281	MCF102A	3.48172	29.3174
282	MCF102A	3.4343717	29.432575
283	MCF102A	3.5806963	29.714998
284	MCF102A	3.8279824	30.16909
