	cellLine	tsne-2d-one	tsne-2d-two
0	MCF102A	-0.17142615	6.9836445
1	MCF102A	-0.5213097	7.033437
2	MCF102A	5.406816	0.6223175
3	MCF102A	3.450798	2.5580702
4	MCF102A	25.904078	-23.972696
5	MCF102A	-6.925453	-18.489525
6	MCF102A	-12.089722	-31.13304
7	MCF102A	-11.707688	-30.866486
8	MCF102A	30.791655	-31.058369
9	MCF102A	-15.198924	24.169804
10	MCF102A	44.58173	-13.973276
11	MCF102A	47.48697	-10.031407
12	MCF102A	-8.562071	-1.2986042
13	MCF102A	37.86124	12.584706
14	MCF102A	-2.800395	10.629564
15	MCF102A	-2.499961	28.321768
16	MCF102A	-15.341965	-6.189816
17	MCF102A	-15.346914	-6.1822696
18	MCF102A	9.476285	5.983016
19	MCF102A	18.627796	-8.024537
20	MCF102A	2.4497347	-9.812227
21	MCF102A	6.2235465	14.435797
22	MCF102A	20.554598	1.4809293
23	MCF102A	41.396225	-1.8887823
24	MCF102A	16.12676	-9.919736
25	MCF102A	14.331971	-4.5202827
26	MCF102A	1.6619107	19.294724
27	MCF102A	26.034447	24.75121
28	MCF102A	-8.981111	-12.373706
29	MCF102A	41.916695	-3.6641858
30	MCF102A	42.003693	-3.6443107
31	MCF102A	12.700101	-16.941422
32	MCF102A	12.419128	24.70695
33	MCF102A	10.889297	-15.841233
34	MCF102A	13.472326	-2.7633078
35	MCF102A	14.504634	9.352377
36	MCF102A	14.952319	-22.198812
37	MCF102A	26.017555	-14.380314
38	MCF102A	17.193497	1.4997386
39	MCF102A	-23.355152	2.095541
40	MCF102A	13.9227	-18.691303
41	MCF102A	26.087542	25.889902
42	MCF102A	19.962666	2.0048172
43	MCF102A	18.549387	-2.4104261
44	MCF102A	-23.863464	-3.9537487
45	MCF102A	16.911713	-19.306456
46	MCF102A	37.916378	3.7165658
47	MCF102A	37.96296	3.5942454
48	MCF102A	40.943127	-10.029865
49	MCF102A	19.912012	-10.385098
50	MCF102A	10.726118	45.54247
51	MCF102A	9.369587	45.739716
52	MCF102A	8.85399	45.273796
53	MCF102A	14.887378	-16.418148
54	MCF102A	12.962828	-17.672228
55	MCF102A	11.785817	-22.090517
56	MCF102A	6.4531393	11.330757
57	MCF102A	40.07708	-7.530233
58	MCF102A	40.98449	-6.5023446
59	MCF102A	41.69462	6.173973
60	MCF102A	44.719433	-6.1387115
61	MCF102A	3.1586168	-9.128494
62	MCF102A	8.289111	6.6126623
63	MCF102A	-6.7062597	-7.4368954
64	MCF102A	-6.1999817	-7.6826224
65	MCF102A	-4.2582517	17.890013
66	MCF102A	5.277071	11.941944
67	MCF102A	5.735207	-15.697059
68	MCF102A	19.753635	-10.873875
69	MCF102A	3.4053044	-19.328455
70	MCF102A	-7.5417757	-0.6527335
71	MCF102A	9.186812	-26.497877
72	MCF102A	-7.6584945	-0.6585909
73	MCF102A	1.3103486	27.311153
74	MCF102A	2.1763368	-12.716938
75	MCF102A	-15.540807	29.9832
76	MCF102A	-5.3788686	-0.46339926
77	MCF102A	-3.6525776	34.406906
78	MCF102A	-6.8701944	14.086399
79	MCF102A	23.143955	3.501771
80	MCF102A	17.194363	9.4251795
81	MCF102A	17.148071	9.2586155
82	MCF102A	22.993954	39.561855
83	MCF102A	14.76399	42.43387
84	MCF102A	10.466132	19.747498
85	MCF102A	-9.3029585	38.020493
86	MCF102A	16.965788	24.022772
87	MCF102A	-8.941568	37.952778
88	MCF102A	13.776809	43.51467
89	MCF102A	16.842531	24.002642
90	MCF102A	17.100069	23.964766
91	MCF102A	-10.090841	26.080923
92	MCF102A	-15.200055	25.297937
93	MCF102A	0.549916	40.234
94	MCF102A	8.004398	43.810898
95	MCF102A	-6.931649	37.312653
96	MCF102A	40.511105	9.751439
97	MCF102A	23.277401	34.067917
98	MCF102A	23.422163	38.800087
99	MCF102A	22.149216	38.74736
100	MCF102A	10.645944	43.72867
101	MCF102A	12.90441	45.345127
102	MCF102A	3.4305434	40.2039
103	MCF102A	3.0673878	38.51926
104	MCF102A	23.217274	33.225407
105	MCF102A	-8.534914	36.65416
106	MCF102A	22.619831	-0.09182257
107	MCF102A	21.020027	26.662502
108	MCF102A	22.552359	23.730589
109	MCF102A	22.500761	23.70569
110	MCF102A	27.027767	25.538696
111	MCF102A	27.039762	25.499298
112	MCF102A	14.221755	-15.414012
113	MCF102A	14.012786	-15.613767
114	MCF102A	11.3975525	-16.89922
115	MCF102A	11.400017	-13.615867
116	MCF102A	11.353676	-13.58063
117	MCF102A	6.3671656	-15.10634
118	MCF102A	2.8460026	14.473068
119	MCF102A	-16.499155	3.0018387
120	MCF102A	9.050673	26.518154
